Comisión Nacional del Agua
Subdirección General Técnica
Estación: La Boca
Clave: BOCNL
Estado: Nuevo León
Municipio: Santiago

Fecha, Nivel(m), Gasto(m³/s)
1994/08/28,443.05,-
1994/08/29,443.02,-
1994/08/30,442.98,-
1994/08/31,443.10,-
1994/09/01,443.20,-
1994/09/02,443.52,-
1994/09/03,443.69,-
1994/09/04,443.72,-
1994/09/05,443.74,-
1994/09/06,443.74,-
1994/09/07,443.75,-
1994/09/08,443.74,-
1994/09/09,443.74,-
1994/09/10,443.70,-
1994/09/11,443.75,-
1994/09/12,443.78,-
1994/09/13,443.83,-
1994/09/14,443.82,-
1994/09/15,443.82,-
1994/09/16,443.81,-
1994/09/17,444.44,-
1994/09/18,444.83,-
1994/09/19,445.04,-
1994/09/20,445.10,-
1994/09/21,445.18,-
1994/09/22,445.24,-
1994/09/23,445.28,-
1994/09/24,445.31,-
1994/09/25,445.33,-
1994/09/26,445.36,-
1994/09/27,445.36,-
1994/09/28,445.38,-
1994/09/29,445.40,-
1994/09/30,445.40,-
1994/10/01,445.40,-
1994/10/02,445.41,-
1994/10/03,445.41,-
1994/10/04,445.41,-
1994/10/05,445.49,-
1994/10/06,445.49,-
1994/10/07,445.31,-
1994/10/08,445.50,-
1994/10/09,445.52,-
1994/10/10,445.52,-
1994/10/11,445.52,-
1994/10/12,445.52,-
1994/10/13,445.51,-
1994/10/14,445.52,-
1994/10/15,445.52,-
1994/10/16,445.52,-
1994/10/17,445.51,-
1994/10/18,445.51,-
1994/10/19,445.51,-
1994/10/20,445.51,-
1994/10/21,445.81,-
1994/10/22,445.51,-
1994/10/23,445.51,-
1994/10/24,445.51,-
1994/10/25,445.50,-
1994/10/26,445.50,-
1994/10/27,445.61,-
1994/10/28,445.51,-
1994/10/29,445.50,-
1994/10/30,445.50,-
1994/10/31,445.50,-
1994/11/01,445.50,-
1994/11/02,445.49,-
1994/11/03,445.49,-
1994/11/04,445.47,-
1994/11/05,445.47,-
1994/11/06,445.46,-
1994/11/07,445.46,-
1994/11/08,445.44,-
1994/11/09,445.44,-
1994/11/10,445.43,-
1994/11/11,-,-
1994/11/12,445.42,-
1994/11/13,445.41,-
1994/11/14,445.40,-
1994/11/15,445.39,-
1994/11/16,445.39,-
1994/11/17,445.38,-
1994/11/18,445.37,-
1994/11/19,445.37,-
1994/11/20,445.30,-
1994/11/21,445.36,-
1994/11/22,445.33,-
1994/11/23,445.34,-
1994/11/24,445.35,-
1994/11/25,445.36,-
1994/11/26,445.34,-
1994/11/27,445.34,-
1994/11/28,445.34,-
1994/11/29,445.33,-
1994/11/30,445.34,-
1994/12/01,445.31,-
1994/12/02,445.26,-
1994/12/03,445.20,-
1994/12/04,445.16,-
1994/12/05,445.13,-
1994/12/06,445.08,-
1994/12/07,445.04,-
1994/12/08,445.00,-
1994/12/09,444.96,-
1994/12/10,444.93,-
1994/12/11,444.86,-
1994/12/12,444.81,-
1994/12/13,444.77,-
1994/12/14,444.72,-
1994/12/15,444.67,-
1994/12/16,444.63,-
1994/12/17,444.58,-
1994/12/18,444.54,-
1994/12/19,444.52,-
1994/12/20,444.48,-
1994/12/21,444.44,-
1994/12/22,444.38,-
1994/12/23,444.34,-
1994/12/24,444.28,-
1994/12/25,444.24,-
1994/12/26,444.19,-
1994/12/27,444.19,-
1994/12/28,444.10,-
1994/12/29,444.06,-
1994/12/30,443.99,-
1994/12/31,443.96,-
1995/01/01,443.90,-
1995/01/02,443.84,-
1995/01/03,443.81,-
1995/01/04,443.78,-
1995/01/05,443.76,-
1995/01/06,443.75,-
1995/01/07,443.74,-
1995/01/08,443.72,-
1995/01/09,443.70,-
1995/01/10,443.73,-
1995/01/11,443.68,-
1995/01/12,443.66,-
1995/01/13,443.65,-
1995/01/14,443.63,-
1995/01/15,443.63,-
1995/01/16,443.59,-
1995/01/17,443.57,-
1995/01/18,443.56,-
1995/01/19,443.54,-
1995/01/20,443.52,-
1995/01/21,443.51,-
1995/01/22,443.50,-
1995/01/23,443.48,-
1995/01/24,443.46,-
1995/01/25,443.45,-
1995/01/26,443.44,-
1995/01/27,443.43,-
1995/01/28,443.43,-
1995/01/29,443.40,-
1995/01/30,443.35,-
1995/01/31,443.38,-
1995/02/01,443.38,-
1995/02/02,443.37,-
1995/02/03,443.36,-
1995/02/04,443.34,-
1995/02/05,443.33,-
1995/02/06,443.32,-
1995/02/07,443.31,-
1995/02/08,443.28,-
1995/02/09,443.27,-
1995/02/10,443.26,-
1995/02/11,443.26,-
1995/02/12,443.25,-
1995/02/13,443.25,-
1995/02/14,443.23,-
1995/02/15,443.21,-
1995/02/16,443.19,-
1995/02/17,443.18,-
1995/02/18,443.17,-
1995/02/19,443.16,-
1995/02/20,443.15,-
1995/02/21,443.14,-
1995/02/22,443.14,-
1995/02/23,443.12,-
1995/02/24,443.10,-
1995/02/25,443.09,-
1995/02/26,443.08,-
1995/02/27,445.06,-
1995/02/28,443.05,-
1995/03/01,443.04,-
1995/03/02,443.02,-
1995/03/03,443.01,-
1995/03/04,443.00,-
1995/03/05,442.99,-
1995/03/06,442.98,-
1995/03/07,442.97,-
1995/03/08,442.95,-
1995/03/09,442.94,-
1995/03/10,442.91,-
1995/03/11,442.90,-
1995/03/12,442.82,-
1995/03/13,442.74,-
1995/03/14,442.71,-
1995/03/15,442.67,-
1995/03/16,442.63,-
1995/03/17,442.60,-
1995/03/18,442.62,-
1995/03/19,442.64,-
1995/03/20,442.66,-
1995/03/21,442.67,-
1995/03/22,442.67,-
1995/03/23,442.69,-
1995/03/24,442.69,-
1995/03/25,442.69,-
1995/03/26,442.70,-
1995/03/27,442.70,-
1995/03/28,442.71,-
1995/03/29,442.69,-
1995/03/30,442.64,-
1995/03/31,442.63,-
1995/04/01,442.65,-
1995/04/02,442.68,-
1995/04/03,442.68,-
1995/04/04,442.69,-
1995/04/05,442.68,-
1995/04/06,442.69,-
1995/04/07,442.69,-
1995/04/08,442.69,-
1995/04/09,442.69,-
1995/04/10,442.69,-
1995/04/11,442.69,-
1995/04/12,442.68,-
1995/04/13,442.68,-
1995/04/14,442.69,-
1995/04/15,442.68,-
1995/04/16,442.66,-
1995/04/17,442.66,-
1995/04/18,442.65,-
1995/04/19,442.64,-
1995/04/20,442.63,-
1995/04/21,442.61,-
1995/04/22,442.61,-
1995/04/23,442.62,-
1995/04/24,442.61,-
1995/04/25,442.62,-
1995/04/26,442.62,-
1995/04/27,442.62,-
1995/04/28,442.61,-
1995/04/29,442.61,-
1995/04/30,442.61,-
1995/05/01,442.61,-
1995/05/02,442.64,-
1995/05/03,442.67,-
1995/05/04,442.68,-
1995/05/05,442.68,-
1995/05/06,442.68,-
1995/05/07,442.68,-
1995/05/08,442.69,-
1995/05/09,442.69,-
1995/05/10,442.69,-
1995/05/11,442.69,-
1995/05/12,442.69,-
1995/05/13,442.70,-
1995/05/14,442.70,-
1995/05/15,442.69,-
1995/05/16,442.68,-
1995/05/17,442.69,-
1995/05/18,442.68,-
1995/05/19,442.67,-
1995/05/20,442.65,-
1995/05/21,442.60,-
1995/05/22,442.66,-
1995/05/23,442.65,-
1995/05/24,442.65,-
1995/05/25,442.65,-
