ID,Usuario,Nombre,Fecha,Texto,Tipo,Likes,Retweets,Comentarios,Citas,Enlace,Imágenes,Videos,GIFs,Puntaje,colonia,calle,municipio,REGION,geometría
1217,@ABCNoticiasMX,ABCNoticias.mx,"Jun 21, 2024 · 12:26 PM UTC",elclimaenmonterrey continuarán las lluvias este viernes en monterrey,lluvia,9,1,0,0,https://twitter.com/ABCNoticiasMX/status/1804128835169869916#m,['https://pbs.twimg.com/media/GQmMVLxW0AAcUYg.jpg'],,,-0.581779659,,,Monterrey,,
1218,@ABCNoticiasMX,ABCNoticias.mx,"Jun 21, 2024 · 12:04 PM UTC",nuestra portada hoy golpea el río santa catarina a la av constitución alberto deja muertos rescatados y mil afectados por cortes de luz alberto da alivio a las presas árbol azota sobre auto y atrapa a una familia sheinbaum destapa,eléctrico,12,3,0,1,https://twitter.com/ABCNoticiasMX/status/1804123308192899571#m,['https://pbs.twimg.com/media/GQmHdokXsAAIsZI.jpg'],,,-1.019749999,,Avenida Constitución,,,
1219,@ABCNoticiasMX,ABCNoticias.mx,"Jun 21, 2024 · 5:27 AM UTC",entérate tormenta alberto los tacos jeep le pichan la cena a elementos de protección civil de nl la invitación a cenar se extendió también a policías bomberos y demás autoridades que trabajaron durante la tormenta alberto por nl,lluvia,360,38,8,2,https://twitter.com/ABCNoticiasMX/status/1804023373992743132#m,,,,-1.098684788,,,,,
1220,@ABCNoticiasMX,ABCNoticias.mx,"Jun 21, 2024 · 4:29 AM UTC",así aumentó el nivel de las presas tras lluvias de alberto en nuevo león actualización presa libertad ha captado el de su totalidad,lluvia,127,29,1,5,https://twitter.com/ABCNoticiasMX/status/1804008762920845622#m,['https://pbs.twimg.com/media/GQkdzK2XsAAj3_h.jpg'],,,0.034755349,,,,,
1221,@ABCNoticiasMX,ABCNoticias.mx,"Jun 21, 2024 · 12:33 AM UTC",atención corriente del río ramos arrastra al restaurante las comadres durante tormenta alberto en nl a través de un comunicado en redes las comadres dijeron que lo material es reemplazable,lluvia,17,2,0,0,https://twitter.com/ABCNoticiasMX/status/1803949349849739464#m,,,,-1.013118982,,,,,
1222,@ABCNoticiasMX,ABCNoticias.mx,"Jun 20, 2024 · 11:31 PM UTC",el río santa catarina lleva más fuerza esta tarde tras dos días de fuertes lluvias por alberto,lluvia,70,8,2,0,https://twitter.com/ABCNoticiasMX/status/1803933682576568554#m,,['https://video.twimg.com/ext_tw_video/1803933622484824064/pu/pl/_gbG7jZ9s2RH88kl.m3u8?tag=12'],,-0.158812135,,,,,
1223,@ABCNoticiasMX,ABCNoticias.mx,"Jun 20, 2024 · 10:00 PM UTC",la cola de caballo en santiago nuevo león se desbordó durante la tarde de hoy por los efectos de las lluvias de alberto los escalones que llevan al punto turístico tienen considerables escurrimientos un trabajador del sitio captó el panorama en el sur del estado,inundación,10187,2244,140,89,https://twitter.com/ABCNoticiasMX/status/1803910827898294680#m,,['https://video.twimg.com/ext_tw_video/1803910681508356096/pu/pl/08ZY99QMIp97XCMt.m3u8?tag=12'],,-0.501889467,,Calle Caballo,,sur del estado,
1224,@ABCNoticiasMX,ABCNoticias.mx,"Jun 20, 2024 · 9:33 PM UTC",entérate sorteos tec adecuará casa inundada por tormenta alberto rifa sigue en pie este fue el comunicado de sorteos tec,lluvia,6,2,0,0,https://twitter.com/ABCNoticiasMX/status/1803903905572508034#m,,,,-0.350654721,,,,,
1225,@ABCNoticiasMX,ABCNoticias.mx,"Jun 20, 2024 · 8:39 PM UTC",así aumentó el nivel de las presas en tan solo horas de lluvias por alberto,lluvia,54,8,10,5,https://twitter.com/ABCNoticiasMX/status/1803890397258592614#m,['https://pbs.twimg.com/media/GQi0wRFXIAAQVPf.jpg'],,,-0.062219024,,,,,
1226,@ABCNoticiasMX,ABCNoticias.mx,"Jun 20, 2024 · 7:51 PM UTC",al corte de las pm así va el nivel actual de las presas en nuevo león tras las fuertes lluvias que ocasionó alberto fuente dr luis carlos alatorre director general del organismo de cuenca rio bravo de la conagua,eléctrico,51,16,10,4,https://twitter.com/ABCNoticiasMX/status/1803878338974581057#m,['https://pbs.twimg.com/media/GQipyP8WAAAj5hk.jpg'],,,0.519153833,,,,,
1227,@ABCNoticiasMX,ABCNoticias.mx,"Jun 20, 2024 · 6:52 PM UTC",atención vienen más lluvias la siguiente semana asegura samuel garcía el gobernador refirió que aún se desconoce el potencial que traerá este nuevo disturbio,lluvia,30,6,4,0,https://twitter.com/ABCNoticiasMX/status/1803863425522487308#m,,,,-1.01407373,,,,,
1228,@cesarmty,César Cepeda,"Jun 21, 2024 · 11:44 PM UTC",todos de pie por favor así luce hoy viernes la cortina rompepicos en el cañón de la huasteca en santa catarina luego de contener el impacto de la tormenta alberto en nuevo león monterrey marioarizpetiktok,lluvia,787,157,17,10,https://twitter.com/cesarmty/status/1804299406994206959#m,,['https://video.twimg.com/ext_tw_video/1804299016294858752/pu/vid/avc1/576x1024/FJzfwIwOCFCmd44i.mp4?tag=12'],,-1.284159184,,,"Santa Catarina, Monterrey",,
1229,@telediariomty,@telediariomty,"Jun 21, 2024 · 2:36 AM UTC",reportan un enorme encharcamiento sobre la avenida paseo de los leones y paseo de cumbres en ambos sentidos mayte villasana,inundación,1548,149,73,58,https://twitter.com/telediariomty/status/1803980378853773381#m,,['https://video.twimg.com/ext_tw_video/1803979842632978433/pu/vid/avc1/848x480/AbR7xgAL8ixAQ4H8.mp4?tag=12'],,-0.724769354,,Calle Paseo,,,
1230,@telediariomty,@telediariomty,"Jun 21, 2024 · 12:11 AM UTC",abimael salas jefe de meteorología habla sobre las probabilidades de lluvia en las próximas horas telediarionocturno con luiscarlosortiz y sandragonzalezc,lluvia,110,12,5,0,https://twitter.com/telediariomty/status/1803943817542013254#m,,['https://video.twimg.com/amplify_video/1803943629788188672/vid/avc1/1280x720/Q66y9OwcMllK2DZy.mp4?tag=14'],,0.455429077,,,,,
1231,@elnorte,EL NORTE,"Jun 20, 2024 · 11:49 PM UTC",entérate recibe la presa el cuchillo los primeros escurrimientos de la tormenta alberto de acuerdo a pobladores grandes volúmenes de agua están ingresando,lluvia,932,116,6,5,https://twitter.com/elnorte/status/1803938283958816983#m,,['https://video.twimg.com/ext_tw_video/1803937064599044097/pu/vid/avc1/478x850/MUytcD0tFO5JrFph.mp4?tag=12'],,-0.799303949,,,,,
1232,@sonia_coronado,Sonia Coronado,"Jun 20, 2024 · 6:55 PM UTC",aplauso a las cuadrillas de cfecontigo cfemx que en plena tormenta está haciendo lo posible para restablecer la luz,eléctrico,406,51,11,1,https://twitter.com/sonia_coronado/status/1803864281454100959#m,,['https://video.twimg.com/ext_tw_video/1803864228249387008/pu/vid/avc1/540x960/tfd0mheiyAAmt_9S.mp4?tag=12'],,0.714132547,,,,,
1233,@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 8:09 PM UTC",cruces en zonas de riesgo juan pablo ii cristina larralde inundación baja las puentes cristina larralde inundación baja juan pablo ii cristina larralde y san nicolás inundación baja,inundación,0,0,1,0,https://twitter.com/GobSanNicolas/status/1804245277139759122#m,,,,-1.453731894,,,San Nicolás,,
1234,@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 8:09 PM UTC",encharcamientos importantes universidad y lerdo de tejada lopez mateos y fundidores,inundación,0,0,1,0,https://twitter.com/GobSanNicolas/status/1804245219379950025#m,,,,1.156329274,,,,,
1235,@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 8:08 PM UTC",intensidad de lluvia por región zona poniente moderadconstante zona centro moderadaconstante zona oriente sin lluvia,lluvia,1,0,1,0,https://twitter.com/GobSanNicolas/status/1804245000235929746#m,,,,-0.539846003,,,,región zona poniente moderadconstante zona centro moderadaconstante zona oriente,
1236,@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 8:08 PM UTC",san nicolás actualización tormenta tropical alberto hora viernes de junio,lluvia,6,1,1,0,https://twitter.com/GobSanNicolas/status/1804244949396787553#m,['https://pbs.twimg.com/media/GQn3OAOWMAArYlM.jpg'],,,-0.425222516,,,San Nicolás,,
1237,@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 7:15 PM UTC",encharcamientos importantes universidad y lerdo de tejada lopez mateos y fundidores,inundación,2,0,0,0,https://twitter.com/GobSanNicolas/status/1804231703772172718#m,,,,1.156329274,,,,,
1238,@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 7:15 PM UTC",av universidad tapia a la altura de estación del metro tapia inundación baja arroyo la talaverana a la altura de la col blas chumacera y talaverana inundación baja,inundación,1,0,0,0,https://twitter.com/GobSanNicolas/status/1804231691659071983#m,,,,-1.165575862,BLAS CHUMACERO,Avenida Universidad,,,"POLYGON Z ((-100.12474999961262 25.392290000283424 0, -100.12511000002632 25.39282000044284 0, -100.12533000027912 25.393119999888256 0, -100.1255200000478 25.393409999771848 0, -100.12572999983945 25.393730000139556 0, -100.12597000011527 25.393979999977205 0, -100.12625000043704 25.39422000025297 0, -100.1265200002976 25.394450000067593 0, -100.12664000043554 25.39453999972136 0, -100.12671000006628 25.394590000228504 0, -100.12689000027314 25.394739999951184 0, -100.12714999967261 25.394960000204037 0, -100.12661800032032 25.395633999809434 0, -100.12587999956219 25.39562999962493 0, -100.12582999995436 25.395510000386366 0, -100.12558000011677 25.39533999974134 0, -100.12531999981798 25.39521000004163 0, -100.12519000011827 25.395179999557513 0, -100.12453000025914 25.395259999649454 0, -100.12443999970606 25.394450000067593 0, -100.124519999798 25.394000000000176 0, -100.12457000030514 25.39395000039235 0, -100.12461999991291 25.39350999988676 0, -100.12467000042005 25.393059999819286 0, -100.12474999961262 25.392290000283424 0))"
1239,@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 7:15 PM UTC",av manuel l barragán desde sendero hasta fidel vzz inundación baja av lópez mateos en sus cruces con privada lópez mateos y fundidores inundación media,inundación,1,0,0,0,https://twitter.com/GobSanNicolas/status/1804231687980646530#m,,,,-1.055100322,,,,,
1240,@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 7:12 PM UTC",cierres viales universidad y lerdo de tejada nte sur carriles por encharcamiento sendero y balcones de anáhuacentrada a la ghoner,inundación,1,0,0,0,https://twitter.com/GobSanNicolas/status/1804230847383454005#m,,,,0.016888112,,,,,
1241,@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 7:11 PM UTC",intensidad de lluvia por región zona poniente sin lluvia zona centro sin lluvia zona oriente sin lluvia,lluvia,0,0,0,0,https://twitter.com/GobSanNicolas/status/1804230785639108876#m,,,,-0.737189472,,,,"región zona poniente sin, zona centro sin lluvia, zona oriente",
1242,@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 7:11 PM UTC",san nicolás actualización tormenta tropical alberto hora viernes de junio,lluvia,5,1,9,0,https://twitter.com/GobSanNicolas/status/1804230737882923182#m,['https://pbs.twimg.com/media/GQnqSizWoAEnELT.jpg'],,,-0.425222516,,,San Nicolás,,
1243,@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 6:19 PM UTC",av lópez mateos en sus cruces con privada lópez mateos y fundidores inundación media av universidad tapia a la altura de estación del metro tapia inundación baja arroyo la talaverana a la altura de la col blas chumacera y talaverana inundación baja,inundación,0,0,1,0,https://twitter.com/GobSanNicolas/status/1804217599116337494#m,,,,-0.988342822,BLAS CHUMACERO,"Adolfo López Mateos, Avenida Universidad",,,"POLYGON Z ((-100.12474999961262 25.392290000283424 0, -100.12511000002632 25.39282000044284 0, -100.12533000027912 25.393119999888256 0, -100.1255200000478 25.393409999771848 0, -100.12572999983945 25.393730000139556 0, -100.12597000011527 25.393979999977205 0, -100.12625000043704 25.39422000025297 0, -100.1265200002976 25.394450000067593 0, -100.12664000043554 25.39453999972136 0, -100.12671000006628 25.394590000228504 0, -100.12689000027314 25.394739999951184 0, -100.12714999967261 25.394960000204037 0, -100.12661800032032 25.395633999809434 0, -100.12587999956219 25.39562999962493 0, -100.12582999995436 25.395510000386366 0, -100.12558000011677 25.39533999974134 0, -100.12531999981798 25.39521000004163 0, -100.12519000011827 25.395179999557513 0, -100.12453000025914 25.395259999649454 0, -100.12443999970606 25.394450000067593 0, -100.124519999798 25.394000000000176 0, -100.12457000030514 25.39395000039235 0, -100.12461999991291 25.39350999988676 0, -100.12467000042005 25.393059999819286 0, -100.12474999961262 25.392290000283424 0))"
