Texto,colonia,calle,municipio,REGION,geometría
"se produce una inundación en ave garza sada y av del estado, cerca de la colonia villa florida en mty, nl, bomberosmty",VILLA FLORIDA,"Avenida Eugenio Garza Sada, Avenida del Estado",Monterrey,,"POLYGON Z ((-100.28965000024715 25.657439999656447 0, -100.28969000029315 25.657490000163534 0, -100.28973000033909 25.657570000255475 0, -100.28975999992389 25.657699999955184 0, -100.28975000036206 25.657809999631922 0, -100.28971000031612 25.657889999723864 0, -100.28961000020121 25.65798000027695 0, -100.28910999962665 25.658540000021162 0, -100.28893999988094 25.658720000228016 0, -100.28871999962814 25.658909999996695 0, -100.28914000011076 25.65932000001817 0, -100.28930000029465 25.659500000225023 0, -100.28934000034059 25.659580000316907 0, -100.28936999992538 25.659689999993645 0, -100.28936999992538 25.659839999716382 0, -100.28772999983948 25.659919999808324 0, -100.28729000023316 25.659939999831295 0, -100.28649000021318 25.660019999923236 0, -100.286499999775 25.65954999983279 0, -100.286499999775 25.659400000110054 0, -100.28653000025918 25.658959999604463 0, -100.286539999821 25.658450000367395 0, -100.286539999821 25.657820000093068 0, -100.286539999821 25.657610000301418 0, -100.28836600039045 25.656372999914197 0, -100.2892899998335 25.65708000014206 0, -100.28957999971709 25.65737000002565 0, -100.28965000024715 25.657439999656447 0))"
precaucion por lluvias fuertes en la colonia del valle y la calle rio misisipi,DEL VALLE,,,,"POLYGON Z ((-100.37228000032161 25.663630000024625 0, -100.37267999988194 25.663170000395382 0, -100.37273999995091 25.663079999842296 0, -100.37284000006582 25.66295000014253 0, -100.37294999974256 25.662830000004647 0, -100.37300000024965 25.66272000032791 0, -100.37333999974106 25.66170999961696 0, -100.373419999833 25.661510000286455 0, -100.37347999990192 25.66131000005663 0, -100.37351000038603 25.661189999918747 0, -100.37382000029265 25.66116999989572 0, -100.37397999957716 25.661140000310922 0, -100.37405000010727 25.66108000024201 0, -100.37409999971504 25.660980000127097 0, -100.37413000019922 25.660819999943214 0, -100.37423000031413 25.660499999575507 0, -100.3743199999679 25.66016000008409 0, -100.37440000005978 25.659830000154557 0, -100.3744499996676 25.659629999924732 0, -100.37446999969058 25.65946999974085 0, -100.37446999969058 25.659270000410345 0, -100.37440000005978 25.659030000134578 0, -100.37438000003681 25.658889999973667 0, -100.37438999959863 25.658740000250987 0, -100.37456000024366 25.658279999722367 0, -100.37290000013473 25.657800000070097 0, -100.37175000016225 25.657450000117592 0, -100.37158000041654 25.657909999746835 0, -100.37124000002581 25.658900000434812 0, -100.37089999963513 25.65989000022347 0, -100.37054000012074 25.66090999959698 0, -100.37046999959068 25.661069999780807 0, -100.37013999966109 25.661909999846785 0, -100.37000999996138 25.662390000398375 0, -100.3698899998235 25.662899999635442 0, -100.3687900003581 25.66258999972888 0, -100.36828999978354 25.66244999956797 0, -100.36754999983248 25.662230000214493 0, -100.367139999811 25.662099999615464 0, -100.3653299999794 25.661590000378396 0, -100.3642600000988 25.661279999572514 0, -100.36145000001733 25.660460000428827 0, -100.35884999972757 25.6597199995785 0, -100.35615000022216 25.658930000019666 0, -100.3562999999449 25.658430000344424 0, -100.3564699996906 25.65792000020798 0, -100.35650999973655 25.65776999958598 0, -100.35662999987443 25.657329999979652 0, -100.35681999964311 25.656750000212526 0, -100.35697999982699 25.65620000003014 0, -100.35713000044899 25.65560999980181 0, -100.35730999975652 25.65503000003463 0, -100.35748000040155 25.654490000313444 0, -100.35759999964012 25.654160000383854 0, -100.3576900001932 25.65404000024597 0, -100.35779999986994 25.653949999692884 0, -100.35789000042303 25.653869999600943 0, -100.357719999778 25.653819999993175 0, -100.35781000033109 25.653779999947233 0, -100.35789000042303 25.653719999878263 0, -100.35794000003085 25.653650000247467 0, -100.35802999968456 25.65347999960244 0, -100.35814000026068 25.653340000340904 0, -100.35822999991444 25.65306000001914 0, -100.35826000039856 25.65293000031943 0, -100.35826999996038 25.652790000158518 0, -100.35845000016724 25.6527599996744 0, -100.35857999986695 25.652730000089605 0, -100.3590200003726 25.652649999997664 0, -100.35937999988693 25.652600000389896 0, -100.35986000043852 25.65254999988275 0, -100.36034999965261 25.652500000274983 0, -100.36075999967409 25.652460000228984 0, -100.36106999958065 25.652460000228984 0, -100.36136999992539 25.652429999744868 0, -100.36165999980898 25.65240000016007 0, -100.36255000038204 25.65228000002213 0, -100.36298000042655 25.652219999953218 0, -100.36444999986747 25.65205000020751 0, -100.36471000016621 25.652010000161567 0, -100.36584000011578 25.651870000000656 0, -100.36658999962862 25.651769999885744 0, -100.36727000041003 25.65170999981683 0, -100.36762000036259 25.651680000231977 0, -100.36820000012978 25.65164999974786 0, -100.36892000005781 25.65162999972489 0, -100.36990000028464 25.651600000140036 0, -100.37119999997986 25.651540000071122 0, -100.37142000023266 25.65152000004815 0, -100.37154000037054 25.65150999958695 0, -100.37175000016225 25.651489999563978 0, -100.37222000025264 25.65145999997918 0, -100.37245999962914 25.651450000417356 0, -100.37351000038603 25.651370000325414 0, -100.37413000019922 25.651330000279472 0, -100.37448000015172 25.6512999997953 0, -100.37472000042754 25.651290000233473 0, -100.37491999975805 25.651290000233473 0, -100.37511999998787 25.651310000256444 0, -100.37530000019473 25.651339999841298 0, -100.37575000026214 25.651450000417356 0, -100.37589999998488 25.651489999563978 0, -100.37622000035259 25.65158999967889 0, -100.3763900000983 25.651640000186035 0, -100.37682000014274 25.65180000036986 0, -100.37717999965713 25.651939999631452 0, -100.37756000009375 25.652079999792306 0, -100.37793999963111 25.652219999953218 0, -100.37860000038955 25.652480000251956 0, -100.37895999990394 25.652629999974693 0, -100.37924999978753 25.652779999697373 0, -100.37977999994689 25.65306000001914 0, -100.37986000003883 25.653100000065137 0, -100.38107000008029 25.65369999985529 0, -100.38127000031011 25.653799999970204 0, -100.38257000000533 25.65445999982927 0, -100.38291999995789 25.654599999990182 0, -100.38324999988743 25.654720000128066 0, -100.38347000014022 25.65478999975886 0, -100.38406000036855 25.654960000403833 0, -100.38435000025214 25.65503000003463 0, -100.38464999969756 25.6550900001036 0, -100.3849900000883 25.65517000019554 0, -100.38525000038703 25.655259999849306 0, -100.3854099996716 25.655310000356394 0, -100.38571999957816 25.655429999594958 0, -100.38688999957367 25.655919999708374 0, -100.38749000026314 25.656159999984197 0, -100.38778000014673 25.656269999660935 0, -100.38821000019118 25.65644999986779 0, -100.38794999989244 25.656980000027147 0, -100.38765000044702 25.657510000186505 0, -100.38735999966411 25.658080000391863 0, -100.38706999978052 25.65862999967493 0, -100.38634999985248 25.65841999988328 0, -100.38610000001484 25.659159999834287 0, -100.38374999956267 25.658470000390366 0, -100.3836599999089 25.658689999743842 0, -100.38347999970205 25.65919999988023 0, -100.38320999984148 25.65993000026947 0, -100.3829800000268 25.660739999851273 0, -100.38291000039607 25.661189999918747 0, -100.38287999991189 25.661339999641427 0, -100.38267999968207 25.66190000028496 0, -100.38238999979848 25.662580000167054 0, -100.382170000445 25.66307000028047 0, -100.3817800004465 25.663850000277478 0, -100.38144000005582 25.664439999606486 0, -100.38109000010326 25.665080000341902 0, -100.38076999973555 25.665660000109085 0, -100.38064000003584 25.665789999808794 0, -100.3805300003591 25.666030000084618 0, -100.38020000042951 25.666600000289918 0, -100.37996000015374 25.667269999710868 0, -100.37893000031909 25.66697000026545 0, -100.378879999812 25.667099999965217 0, -100.37653000025915 25.667099999965217 0, -100.3765700003051 25.666910000196538 0, -100.37676000007377 25.666310000406384 0, -100.37702000037257 25.66566999967091 0, -100.37709999956519 25.66543999985629 0, -100.37725000018719 25.66504000029596 0, -100.37513000044902 25.66445000006763 0, -100.37401999962316 25.66412000013804 0, -100.37228000032161 25.663630000024625 0))"
