name,colonia
Calle Hermosillo,"Monterrey, Nuevo León, Mexico"
Calle Río Jordán,"Monterrey, Nuevo León, Mexico"
Avenida Lázaro Cárdenas,"Monterrey, Nuevo León, Mexico"
Calle Antigua Carretera Nacional,"Monterrey, Nuevo León, Mexico"
Avenida Miravalle,"Monterrey, Nuevo León, Mexico"
Calzada San Pedro,"Monterrey, Nuevo León, Mexico"
Calle Río Verde,"Monterrey, Nuevo León, Mexico"
Avenida Matehuala,"Monterrey, Nuevo León, Mexico"
Boulevard Antonio L. Rodríguez,"Monterrey, Nuevo León, Mexico"
"['Puente Atirantado', 'Boulevard Rogelio Cantú Gómez']","Monterrey, Nuevo León, Mexico"
Boulevard Rogelio Cantú Gómez,"Monterrey, Nuevo León, Mexico"
"['Boulevard Licenciado Raúl Rangel Frías', 'Boulevard Rogelio Cantú Gómez']","Monterrey, Nuevo León, Mexico"
Calle Mariano Matamoros,"Monterrey, Nuevo León, Mexico"
Calle Doctor José María Coss,"Monterrey, Nuevo León, Mexico"
Calle Juan Ignacio Ramón,"Monterrey, Nuevo León, Mexico"
5 de Mayo,"Monterrey, Nuevo León, Mexico"
Calle Doctor José María Cos,"Monterrey, Nuevo León, Mexico"
José Mariano Abasolo,"Monterrey, Nuevo León, Mexico"
Calle Diego de Montemayor,"Monterrey, Nuevo León, Mexico"
Calle José María Morelos y Pavón,"Monterrey, Nuevo León, Mexico"
Avenida Benito Juárez,"Monterrey, Nuevo León, Mexico"
Andador Hermenegildo Galeana,"Monterrey, Nuevo León, Mexico"
Calle Padre Mier,"Monterrey, Nuevo León, Mexico"
Avenida Constitución,"Monterrey, Nuevo León, Mexico"
Calle Rafael Platón Sánchez,"Monterrey, Nuevo León, Mexico"
Calle Miguel Nieto,"Monterrey, Nuevo León, Mexico"
Calle Emilio Carranza,"Monterrey, Nuevo León, Mexico"
Calle Hermenegildo Galeana,"Monterrey, Nuevo León, Mexico"
Calle Colegio Civil,"Monterrey, Nuevo León, Mexico"
Calle José Mariano Jiménez,"Monterrey, Nuevo León, Mexico"
Calle José Trinidad Villagómez,"Monterrey, Nuevo León, Mexico"
Calle Francisco Garza Sada,"Monterrey, Nuevo León, Mexico"
Calle Patricio Milmo,"Monterrey, Nuevo León, Mexico"
1a. J. A. Robertson,"Monterrey, Nuevo León, Mexico"
Avenida Puerta del Sol,"Monterrey, Nuevo León, Mexico"
Avenida General Bernardo Reyes,"Monterrey, Nuevo León, Mexico"
José Joaquín de Herrera,"Monterrey, Nuevo León, Mexico"
Avenida General Pedro María Anaya,"Monterrey, Nuevo León, Mexico"
Calle Anastasio Bustamante,"Monterrey, Nuevo León, Mexico"
Calzada Francisco I. Madero,"Monterrey, Nuevo León, Mexico"
Calle Capitán Lorenzo De Aguilar,"Monterrey, Nuevo León, Mexico"
Calle Capitán Lorenzo de Aguilar,"Monterrey, Nuevo León, Mexico"
Calle Héroe de Nacozari,"Monterrey, Nuevo León, Mexico"
Calle Thomas Alva Edison,"Monterrey, Nuevo León, Mexico"
Calle Porfirio Díaz,"Monterrey, Nuevo León, Mexico"
Batallón de San Blas,"Monterrey, Nuevo León, Mexico"
Calzada Prolongación Francisco I. Madero,"Monterrey, Nuevo León, Mexico"
Calle Ramón Corona,"Monterrey, Nuevo León, Mexico"
Calle Juan Nepomuceno Méndez,"Monterrey, Nuevo León, Mexico"
Mariano Arista,"Monterrey, Nuevo León, Mexico"
Calle Héroes del 47,"Monterrey, Nuevo León, Mexico"
Calle España,"Monterrey, Nuevo León, Mexico"
Avenida Doctor Ignacio Morones Prieto,"Monterrey, Nuevo León, Mexico"
Calle José López Hickman,"Monterrey, Nuevo León, Mexico"
Calle Ismael Garza,"Monterrey, Nuevo León, Mexico"
Avenida Manuel Gómez Morín,"Monterrey, Nuevo León, Mexico"
Calzada San Jerónimo,"Monterrey, Nuevo León, Mexico"
"['Avenida Doctor José Eleuterio González', 'Avenida Manuel Gómez Morín']","Monterrey, Nuevo León, Mexico"
Avenida José Ángel Conchello,"Monterrey, Nuevo León, Mexico"
Avenida Paseo de los Leones,"Monterrey, Nuevo León, Mexico"
Calle de la Cima,"Monterrey, Nuevo León, Mexico"
Paseo de los Conquistadores,"Monterrey, Nuevo León, Mexico"
Calle Herodoto,"Monterrey, Nuevo León, Mexico"
Calle Paseo del Pensador,"Monterrey, Nuevo León, Mexico"
Paseo del Parque,"Monterrey, Nuevo León, Mexico"
Avenida Zapopan,"Monterrey, Nuevo León, Mexico"
Calle Tlaquepaque,"Monterrey, Nuevo León, Mexico"
Calle Burócratas,"Monterrey, Nuevo León, Mexico"
Calle Lagos de Moreno,"Monterrey, Nuevo León, Mexico"
15a Avenida,"Monterrey, Nuevo León, Mexico"
Calle Paseo de Churubusco,"Monterrey, Nuevo León, Mexico"
Calle de los Altos,"Monterrey, Nuevo León, Mexico"
Calle San Juan de los Lagos,"Monterrey, Nuevo León, Mexico"
Avenida las Palmas,"Monterrey, Nuevo León, Mexico"
Abedúl,"Monterrey, Nuevo León, Mexico"
Calle Ceiba,"Monterrey, Nuevo León, Mexico"
Avenida Juan José Hinojosa,"Monterrey, Nuevo León, Mexico"
Guadalajara,"Monterrey, Nuevo León, Mexico"
Calle Tepatitlán,"Monterrey, Nuevo León, Mexico"
Calle Ocotlán,"Monterrey, Nuevo León, Mexico"
Calle Cocula,"Monterrey, Nuevo León, Mexico"
Calle Manuel Gómez de Castro,"Monterrey, Nuevo León, Mexico"
Calle Arandas,"Monterrey, Nuevo León, Mexico"
Calle Carpes,"Monterrey, Nuevo León, Mexico"
Avenida San José,"Monterrey, Nuevo León, Mexico"
Enebro,"Monterrey, Nuevo León, Mexico"
Fujiyama,"Monterrey, Nuevo León, Mexico"
Mauna Loa,"Monterrey, Nuevo León, Mexico"
Mil Cumbres,"Monterrey, Nuevo León, Mexico"
Monte Lewis,"Monterrey, Nuevo León, Mexico"
Avenida No Reelección,"Monterrey, Nuevo León, Mexico"
Calle Canario,"Monterrey, Nuevo León, Mexico"
Avenida Adolfo Ruíz Cortínes,"Monterrey, Nuevo León, Mexico"
Estornino,"Monterrey, Nuevo León, Mexico"
Avenida Pedro Infante,"Monterrey, Nuevo León, Mexico"
Calle Hernán Cortés,"Monterrey, Nuevo León, Mexico"
Calle Paseo de los Descubridores,"Monterrey, Nuevo León, Mexico"
Vía Perseo,"Monterrey, Nuevo León, Mexico"
Cerro del Fraile,"Monterrey, Nuevo León, Mexico"
"['Vía Perseo', 'Vía Andador C']","Monterrey, Nuevo León, Mexico"
Carlo Magno,"Monterrey, Nuevo León, Mexico"
Calle Penélope,"Monterrey, Nuevo León, Mexico"
Calle Termópilas,"Monterrey, Nuevo León, Mexico"
Calle Jenofonte,"Monterrey, Nuevo León, Mexico"
Lotario,"Monterrey, Nuevo León, Mexico"
Jerjes,"Monterrey, Nuevo León, Mexico"
Temístocles,"Monterrey, Nuevo León, Mexico"
Calle Aníbal,"Monterrey, Nuevo León, Mexico"
Calle Paseo de los Césares,"Monterrey, Nuevo León, Mexico"
Calle Antón de Alaminos,"Monterrey, Nuevo León, Mexico"
Calle Alerce,"Monterrey, Nuevo León, Mexico"
Calle Cayá,"Monterrey, Nuevo León, Mexico"
Privada Carpes,"Monterrey, Nuevo León, Mexico"
Tequila,"Monterrey, Nuevo León, Mexico"
Calle de la Barca,"Monterrey, Nuevo León, Mexico"
Privada los Ladrillos,"Monterrey, Nuevo León, Mexico"
Milciades,"Monterrey, Nuevo León, Mexico"
Calle Pericles,"Monterrey, Nuevo León, Mexico"
"['Calle Pericles', 'Calle Aquiles']","Monterrey, Nuevo León, Mexico"
Calle Aquiles,"Monterrey, Nuevo León, Mexico"
Calle Jalisco,"Monterrey, Nuevo León, Mexico"
Calle Jalostitlan,"Monterrey, Nuevo León, Mexico"
Calle Paseo del Gran Parque,"Monterrey, Nuevo León, Mexico"
Paseo de la Cordillera,"Monterrey, Nuevo León, Mexico"
Paseo del Bosque,"Monterrey, Nuevo León, Mexico"
Calle de La Sierra,"Monterrey, Nuevo León, Mexico"
Calle Paseo de la Montaña,"Monterrey, Nuevo León, Mexico"
Calle del Paseo,"Monterrey, Nuevo León, Mexico"
Calle Gobernadores,"Monterrey, Nuevo León, Mexico"
Calle Licenciado Arturo B. de la Garza,"Monterrey, Nuevo León, Mexico"
Licenciado Miguel Alemán,"Monterrey, Nuevo León, Mexico"
Calle Manuel de Santa María,"Monterrey, Nuevo León, Mexico"
Calle Gregorio Salinas Varona,"Monterrey, Nuevo León, Mexico"
Paseo de la Serranía,"Monterrey, Nuevo León, Mexico"
Calle Paseo del Peñón,"Monterrey, Nuevo León, Mexico"
Calle Paseo del Cóndor,"Monterrey, Nuevo León, Mexico"
Calle Paseo de la Sierra,"Monterrey, Nuevo León, Mexico"
Paseo de las Colinas,"Monterrey, Nuevo León, Mexico"
Paseo de los Estudiantes,"Monterrey, Nuevo León, Mexico"
Paseo de los Intelectuales,"Monterrey, Nuevo León, Mexico"
Pensador,"Monterrey, Nuevo León, Mexico"
Avenida Paseo de los Estudiantes,"Monterrey, Nuevo León, Mexico"
Calle Paseo la Montaña,"Monterrey, Nuevo León, Mexico"
Paseo de los Cuatro Parques,"Monterrey, Nuevo León, Mexico"
Calle Paseo de la Cumbre,"Monterrey, Nuevo León, Mexico"
Calle Paseo del Arroyo,"Monterrey, Nuevo León, Mexico"
Calle Paseo de la Colina,"Monterrey, Nuevo León, Mexico"
Calle Paseo del Halcón,"Monterrey, Nuevo León, Mexico"
Calle Paseo Del Monte,"Monterrey, Nuevo León, Mexico"
Paseo del Acantilado,"Monterrey, Nuevo León, Mexico"
"['Calle Paseo del Tigre', 'Calle del Tigre']","Monterrey, Nuevo León, Mexico"
"['Calle del Tigre', 'Calle Paseo del Puma']","Monterrey, Nuevo León, Mexico"
Calle Paseo de los Conquistadores,"Monterrey, Nuevo León, Mexico"
Calle Monte Blanco,"Monterrey, Nuevo León, Mexico"
Calle Paseo del Tigre,"Monterrey, Nuevo León, Mexico"
Calle del Puma,"Monterrey, Nuevo León, Mexico"
"['Calle Paseo del Puma', 'Calle del Puma']","Monterrey, Nuevo León, Mexico"
"['Paseo de los Cuatro Parques', 'Calle Paseo de la Montaña']","Monterrey, Nuevo León, Mexico"
Calle Paseo del Puma,"Monterrey, Nuevo León, Mexico"
"['Calle Paseo del Tigre', 'Calle del Puma', 'Calle Paseo del Puma']","Monterrey, Nuevo León, Mexico"
Avenida Junco de la Vega,"Monterrey, Nuevo León, Mexico"
Calle Atenas,"Monterrey, Nuevo León, Mexico"
Calle Claveles,"Monterrey, Nuevo León, Mexico"
Calle Helechos,"Monterrey, Nuevo León, Mexico"
Avenida Fernando García Roel,"Monterrey, Nuevo León, Mexico"
Prolongación Agrónomos,"Monterrey, Nuevo León, Mexico"
Avenida del Estado,"Monterrey, Nuevo León, Mexico"
Avenida Luis Elizondo,"Monterrey, Nuevo León, Mexico"
Playa Mónaco,"Monterrey, Nuevo León, Mexico"
Avenida Ricardo Covarrubias,"Monterrey, Nuevo León, Mexico"
Niza,"Monterrey, Nuevo León, Mexico"
Calle Jesús Cantú Leal,"Monterrey, Nuevo León, Mexico"
Privada Avenida Del Estado,"Monterrey, Nuevo León, Mexico"
Avenida Revolución,"Monterrey, Nuevo León, Mexico"
Avenida Fundidora,"Monterrey, Nuevo León, Mexico"
Camino Al Diente,"Monterrey, Nuevo León, Mexico"
Calle Filósofos,"Monterrey, Nuevo León, Mexico"
Físicos,"Monterrey, Nuevo León, Mexico"
Avenida Río Pánuco,"Monterrey, Nuevo León, Mexico"
Químicos,"Monterrey, Nuevo León, Mexico"
Calle Agrónomos,"Monterrey, Nuevo León, Mexico"
Técnicos,"Monterrey, Nuevo León, Mexico"
Arquitectos,"Monterrey, Nuevo León, Mexico"
Bachilleres,"Monterrey, Nuevo León, Mexico"
Ingenieros,"Monterrey, Nuevo León, Mexico"
Patagonia,"Monterrey, Nuevo León, Mexico"
Calle Paricutín,"Monterrey, Nuevo León, Mexico"
Prolongación Bachilleres,"Monterrey, Nuevo León, Mexico"
