calle,colonia,geometry,municipio
Privada 20 de Noviembre,SAN DIEGO,"POLYGON Z ((-100.23469999960514 25.682679999882225 0, -100.23411999983796 25.682699999905253 0, -100.23421999995287 25.681400000210033 0, -100.23434000009081 25.680099999615436 0, -100.23450000027464 25.67832999982977 0, -100.23501999997285 25.67838999989874 0, -100.23485999978902 25.68013000009961 0, -100.23483999976605 25.68046999959097 0, -100.23514000011079 25.68048999961394 0, -100.23501000041102 25.682659999859254 0, -100.23469999960514 25.682679999882225 0))",
Xico,ALAMEDA DE LA HACIENDA,"POLYGON Z ((-100.24909000040304 25.671880000062117 0, -100.2490500003571 25.672350000152562 0, -100.24903999989596 25.67253999992124 0, -100.24899999984996 25.673019999573512 0, -100.24895999980401 25.673500000125046 0, -100.24889999973504 25.673939999731374 0, -100.24885000012728 25.674380000236965 0, -100.24747999990194 25.674489999913703 0, -100.2473300001792 25.674500000374906 0, -100.2471799995572 25.674500000374906 0, -100.24669999990493 25.674489999913703 0, -100.24652499992868 25.674454000052208 0, -100.24649000011328 25.67405000030743 0, -100.24634000039055 25.674059999869257 0, -100.24612999969958 25.674090000353374 0, -100.24600999956169 25.674110000376402 0, -100.24585000027713 25.674130000399373 0, -100.24552999990942 25.67415999998417 0, -100.24489000007327 25.67422000005314 0, -100.24437999993688 25.674260000099082 0, -100.24439000039803 25.674189999568966 0, -100.24443000044403 25.67378000044681 0, -100.24446000002882 25.67360999980184 0, -100.24450999963665 25.673449999617958 0, -100.2445800001667 25.673330000379394 0, -100.24466999982047 25.673210000241454 0, -100.24499000018818 25.672909999896717 0, -100.24515999993389 25.67280000021998 0, -100.2453000000948 25.67272999968992 0, -100.24546000027863 25.672680000082096 0, -100.24561000000136 25.672660000059125 0, -100.24577999974701 25.67264999959798 0, -100.24595999995387 25.672490000313417 0, -100.24614999972255 25.67233000012959 0, -100.24628999988346 25.672239999576504 0, -100.24645999962911 25.67216999994571 0, -100.24669000034311 25.67210999987674 0, -100.24727999967212 25.672029999784854 0, -100.24735000020218 25.671940000131087 0, -100.24753999997085 25.671759999924234 0, -100.24774000020068 25.67163999978635 0, -100.24788000036159 25.67157999971738 0, -100.2480399996461 25.671539999671438 0, -100.24911999998784 25.671420000432818 0, -100.24909000040304 25.671880000062117 0))",
Calle 12 de Abril,AZTECA,"POLYGON Z ((-100.23222000035258 25.690749999712864 0, -100.23245999972903 25.690769999735892 0, -100.23272999958965 25.690729999689893 0, -100.23341000037107 25.690539999921214 0, -100.23415000032213 25.690379999737388 0, -100.23460000038955 25.690180000406883 0, -100.23676999973554 25.688990000388344 0, -100.23680000021966 25.68871999962846 0, -100.23686000028863 25.688119999838307 0, -100.23690000033457 25.687660000209007 0, -100.23698999998834 25.687210000141533 0, -100.23701000001137 25.686929999819824 0, -100.23563999978603 25.686880000212 0, -100.23567000027015 25.686579999867263 0, -100.23569999985494 25.686169999845788 0, -100.23573999990094 25.685719999778314 0, -100.23577000038506 25.6852000000801 0, -100.23540000040953 25.68511999998816 0, -100.23491999985794 25.68509999996519 0, -100.23387999956219 25.68509999996519 0, -100.23274999961262 25.68509999996519 0, -100.23222000035258 25.685019999873248 0, -100.23231000000635 25.684389999598977 0, -100.23189000042305 25.68434999955298 0, -100.23194999959264 25.683470000340435 0, -100.23196000005379 25.68335999976432 0, -100.23200000009979 25.68278999955902 0, -100.23214999982247 25.682779999997194 0, -100.23247000019023 25.682759999974166 0, -100.23265000039703 25.68275000041234 0, -100.23296999986547 25.682739999951195 0, -100.23411999983796 25.682699999905253 0, -100.23469999960514 25.682679999882225 0, -100.23501000041102 25.682659999859254 0, -100.23547999960215 25.682630000274457 0, -100.23571000031609 25.682590000228515 0, -100.2359499996926 25.68249999967543 0, -100.23608000029162 25.682430000044633 0, -100.23684000026566 25.682069999630926 0, -100.23750000012478 25.68189000032345 0, -100.23791000014626 25.681759999724363 0, -100.23830000014476 25.681589999978655 0, -100.2392400003256 25.681079999842268 0, -100.23953999977101 25.680939999681414 0, -100.23957000025518 25.680430000444346 0, -100.23959000027816 25.679969999915727 0, -100.23963999988592 25.67947999980231 0, -100.23967999993192 25.678940000081127 0, -100.24035000025214 25.679009999711866 0, -100.24220999969157 25.679200000379865 0, -100.24400000039952 25.679410000171515 0, -100.24386000023867 25.680580000167026 0, -100.24443000044403 25.680580000167026 0, -100.24499000018818 25.68052999965994 0, -100.24544000025566 25.68048999961394 0, -100.24540000020971 25.680899999635415 0, -100.2453299996796 25.681489999863743 0, -100.24530999965663 25.68169999965545 0, -100.24524999958766 25.682089999653954 0, -100.24523099961078 25.682240000275954 0, -100.24596600023057 25.682216000068536 0, -100.24600999956169 25.682510000136574 0, -100.24604999960764 25.68300000024999 0, -100.24610000011478 25.683519999948203 0, -100.24614000016072 25.683999999600474 0, -100.24632000036758 25.68401000006162 0, -100.24680000001985 25.68405000010756 0, -100.24677999999687 25.684230000314415 0, -100.24675999997385 25.684440000106065 0, -100.24661400043561 25.686590000328408 0, -100.24753999997085 25.68655999984429 0, -100.24755999999388 25.68667000042035 0, -100.24768000013177 25.68682000014303 0, -100.24934999980252 25.68643999970641 0, -100.24899000028813 25.686849999727883 0, -100.2477899998085 25.688190000368365 0, -100.24696999976555 25.68912000008811 0, -100.24667999988196 25.689380000386848 0, -100.24638999999837 25.689630000224497 0, -100.24614000016072 25.689719999878264 0, -100.2452600000488 25.690180000406883 0, -100.24482000044253 25.690379999737388 0, -100.24470000030465 25.69041999978333 0, -100.24357000035508 25.690620000013155 0, -100.24343999975605 25.690669999620923 0, -100.24339000014822 25.690729999689893 0, -100.24290999959663 25.69068999964395 0, -100.24263999973607 25.690680000082125 0, -100.24236999987545 25.690590000428358 0, -100.24216999964563 25.69049999987527 0, -100.24193000026912 25.69039999976036 0, -100.24181000013124 25.69029000008362 0, -100.24166999997038 25.690219999553506 0, -100.24134999960268 25.690100000314942 0, -100.24099000008829 25.689969999715856 0, -100.24060999965161 25.689869999600944 0, -100.24023000011425 25.689799999970205 0, -100.23986000013872 25.689779999947177 0, -100.23951999974804 25.689779999947177 0, -100.23935000000233 25.689799999970205 0, -100.2390899997036 25.68994000013106 0, -100.23889999993492 25.68996000015403 0, -100.23867999968206 25.690009999761855 0, -100.23813999996088 25.690180000406883 0, -100.2376899998934 25.690459999829272 0, -100.2366899996436 25.691079999642454 0, -100.23588999962362 25.691500000125075 0, -100.23577000038506 25.691549999732842 0, -100.23493999988096 25.691939999731346 0, -100.23473999965114 25.692019999823287 0, -100.23438000013675 25.69213999996117 0, -100.23382999995437 25.692240000076083 0, -100.23345000041701 25.692289999683908 0, -100.23270999956668 25.69238999979882 0, -100.23220999989144 25.692480000351907 0, -100.23224000037555 25.691409999571988 0, -100.23233999959115 25.69129999989525 0, -100.23237000007532 25.69121999980331 0, -100.23235999961412 25.691099999665425 0, -100.23226000039853 25.69090000033492 0, -100.23222000035258 25.690749999712864 0))",
Calle Heriberto Jara,EL SABINO,"POLYGON Z ((-100.22878999955867 25.677159999834316 0, -100.22916000043352 25.6772399999262 0, -100.22921000004129 25.675630000324418 0, -100.23009300029156 25.67569899990906 0, -100.23031999996789 25.675370000025623 0, -100.23075000001234 25.67549999972539 0, -100.23085999968907 25.675570000255448 0, -100.23093000021919 25.675760000024127 0, -100.23138999984849 25.675800000070126 0, -100.2312800001717 25.676029999884747 0, -100.23114999957266 25.676519999998163 0, -100.2310999999649 25.67695000004261 0, -100.23101999987296 25.677560000293965 0, -100.23189999998488 25.677730000039617 0, -100.23302000037256 25.677939999831267 0, -100.23450000027464 25.678129999599946 0, -100.23450000027464 25.67832999982977 0, -100.23434000009081 25.680099999615436 0, -100.23421999995287 25.681400000210033 0, -100.23411999983796 25.682699999905253 0, -100.23296999986547 25.682739999951195 0, -100.23265000039703 25.68275000041234 0, -100.23247000019023 25.682759999974166 0, -100.23214999982247 25.682779999997194 0, -100.23200000009979 25.68278999955902 0, -100.23159999964014 25.682800000020165 0, -100.23111000042604 25.682820000043137 0, -100.23060999985148 25.68286000008908 0, -100.23046999969057 25.68286000008908 0, -100.23050999973657 25.681480000301917 0, -100.23058000026663 25.680520000098113 0, -100.23070000040457 25.679339999641456 0, -100.23075999957416 25.678880000012157 0, -100.23079000005833 25.678630000174508 0, -100.23089999973507 25.677730000039617 0, -100.22914999997238 25.677400000110083 0, -100.22880000001982 25.67734999960294 0, -100.22878999955867 25.677159999834316 0))",
Privada Heriberto Jara,RINCON DE LA AZTECA,"POLYGON Z ((-100.24753999997085 25.68655999984429 0, -100.24661400043561 25.686590000328408 0, -100.24675999997385 25.684440000106065 0, -100.24677999999687 25.684230000314415 0, -100.24680000001985 25.68405000010756 0, -100.24632000036758 25.68401000006162 0, -100.24649000011328 25.683350000202495 0, -100.24797000001536 25.683370000225523 0, -100.24786999990044 25.68429999994521 0, -100.2477499997625 25.68540999987175 0, -100.24770000015474 25.685779999847284 0, -100.24753999997085 25.686470000190525 0, -100.24753999997085 25.68655999984429 0))",
Calle Caudillo del Sur,ZITOON GUADALUPE,"POLYGON Z ((-100.24072000022767 25.674950000442323 0, -100.24115000027217 25.674989999589002 0, -100.241119999788 25.67532999997968 0, -100.2410900002032 25.675769999585953 0, -100.24107000018023 25.676219999653426 0, -100.24105000015726 25.6766299996749 0, -100.24099000008829 25.67707000018055 0, -100.24097000006532 25.677500000224995 0, -100.24093000001932 25.67795000029247 0, -100.2404799999519 25.677919999808296 0, -100.24045000036705 25.67816000008412 0, -100.2404399999059 25.678830000404332 0, -100.24035000025214 25.679009999711866 0, -100.23967999993192 25.678940000081127 0, -100.23971000041604 25.678750000312448 0, -100.23994999979249 25.678129999599946 0, -100.24000999986146 25.677320000018142 0, -100.2396999999549 25.6768200003429 0, -100.23973000043901 25.67635999981428 0, -100.23980999963163 25.67586000013904 0, -100.2398699997006 25.675340000440826 0, -100.23998000027666 25.675350000002652 0, -100.2400499999074 25.67487000035038 0, -100.24072000022767 25.674950000442323 0))",
Calle Valentín Canalizo,INFONAVIT LA JOYA,"POLYGON Z ((-100.21396000005382 25.68405000010756 0, -100.21400000009976 25.683600000040144 0, -100.2135399995712 25.683620000063115 0, -100.21355999959417 25.683239999626437 0, -100.21363999968611 25.682739999951195 0, -100.21369999975502 25.682340000390866 0, -100.21379999986993 25.68177000018551 0, -100.21383999991593 25.681380000187005 0, -100.21435999961415 25.68136999972586 0, -100.21453000025917 25.681329999679917 0, -100.21447999975203 25.681679999632422 0, -100.2150800004415 25.681690000093568 0, -100.21506999998036 25.68222999981481 0, -100.21506999998036 25.682869999650904 0, -100.2151500000723 25.683559999994145 0, -100.21523000016424 25.683979999577502 0, -100.2147600000738 25.683999999600474 0, -100.21414000026067 25.684039999646416 0, -100.21396000005382 25.68405000010756 0))",
Calle Mariano Paredes,INFONAVIT LA JOYA 2DO SECT,"POLYGON Z ((-100.21369999975502 25.682340000390866 0, -100.21363999968611 25.682739999951195 0, -100.21355999959417 25.683239999626437 0, -100.2135399995712 25.683620000063115 0, -100.21400000009976 25.683600000040144 0, -100.21396000005382 25.68405000010756 0, -100.21289000017322 25.684099999715386 0, -100.21254000022066 25.684039999646416 0, -100.21240999962163 25.684019999623445 0, -100.21135000020217 25.683869999900764 0, -100.21086000008876 25.68380000026997 0, -100.21096999976555 25.68335999976432 0, -100.21098999978852 25.682989999788845 0, -100.21088999967361 25.68259999979034 0, -100.21080999958167 25.682369999975663 0, -100.2105500001822 25.681939999931217 0, -100.21038000043654 25.681569999955684 0, -100.21024999983746 25.68111000032644 0, -100.20985000027713 25.681170000395355 0, -100.20944000025565 25.681190000418326 0, -100.20901999977303 25.681170000395355 0, -100.20782999975455 25.680899999635415 0, -100.20747000024016 25.68089000007359 0, -100.20716999989543 25.680979999727356 0, -100.20696000010378 25.681119999888267 0, -100.20628999978351 25.68163999958648 0, -100.20618000010677 25.68171999967842 0, -100.20607000043003 25.681779999747334 0, -100.20480999988143 25.680449999567998 0, -100.20466000015875 25.680370000375376 0, -100.2044399999059 25.68025999979932 0, -100.2042599996991 25.680159999684406 0, -100.20431999976802 25.68007000003064 0, -100.20417000004534 25.67994000033093 0, -100.20398999983848 25.679760000124077 0, -100.20460999965161 25.67953999987128 0, -100.20519999987994 25.679339999641456 0, -100.20634999985248 25.678960000104098 0, -100.20693799998855 25.67903199982709 0, -100.20749000026314 25.67885000042736 0, -100.20859900014358 25.678691000289575 0, -100.20981499956241 25.678679999782332 0, -100.21010300025313 25.67872099987443 0, -100.21041400020579 25.67876700019707 0, -100.21177099983163 25.67953799977903 0, -100.21191300008473 25.679708000424057 0, -100.21243900005965 25.67987700012361 0, -100.21276599985089 25.679824000377494 0, -100.21319900003368 25.680002999638873 0, -100.21396000005382 25.68023000021452 0, -100.21383999991593 25.681380000187005 0, -100.21379999986993 25.68177000018551 0, -100.21369999975502 25.682340000390866 0))",
Calle Licenciado Roble,INFONAVIT LA JOYA 3ER SECT,"POLYGON Z ((-100.20618000010677 25.68171999967842 0, -100.20628999978351 25.68163999958648 0, -100.20696000010378 25.681119999888267 0, -100.20716999989543 25.680979999727356 0, -100.20747000024016 25.68089000007359 0, -100.20782999975455 25.680899999635415 0, -100.20901999977303 25.681170000395355 0, -100.20944000025565 25.681190000418326 0, -100.20985000027713 25.681170000395355 0, -100.21024999983746 25.68111000032644 0, -100.21038000043654 25.681569999955684 0, -100.2105500001822 25.681939999931217 0, -100.21080999958167 25.682369999975663 0, -100.21088999967361 25.68259999979034 0, -100.21098999978852 25.682989999788845 0, -100.21096999976555 25.68335999976432 0, -100.21086000008876 25.68380000026997 0, -100.21036999997534 25.683749999762824 0, -100.20999999999987 25.683729999739853 0, -100.20940999977154 25.683709999716882 0, -100.20895999970406 25.68368999969391 0, -100.20821000019123 25.68368999969391 0, -100.20784999977752 25.683720000178027 0, -100.20761000040108 25.68339999981032 0, -100.20710999982646 25.682869999650904 0, -100.20607000043003 25.681779999747334 0, -100.20618000010677 25.68171999967842 0))",
Calle Fortunato Lozano,INFONAVIT LA JOYA 4TO SECT,"POLYGON Z ((-100.20431999976802 25.68007000003064 0, -100.2042599996991 25.680159999684406 0, -100.2044399999059 25.68025999979932 0, -100.20466000015875 25.680370000375376 0, -100.20480999988143 25.680449999567998 0, -100.20607000043003 25.681779999747334 0, -100.20710999982646 25.682869999650904 0, -100.20761000040108 25.68339999981032 0, -100.20784999977752 25.683720000178027 0, -100.20708000024166 25.683999999600474 0, -100.2057700000853 25.684420000083094 0, -100.20564000038559 25.683979999577502 0, -100.20536000006382 25.68407000013059 0, -100.20517000029514 25.683740000201 0, -100.20538000008679 25.68366999967094 0, -100.20523000036405 25.683310000156553 0, -100.20490999999635 25.68339999981032 0, -100.20472000022767 25.683029999834787 0, -100.20493999958114 25.68300000024999 0, -100.20480999988143 25.682619999813312 0, -100.20474999981246 25.68219499999941 0, -100.20427000016025 25.681521000394014 0, -100.20388999972357 25.680789999958677 0, -100.20345000011724 25.680899999635415 0, -100.20289000037309 25.68095000014256 0, -100.2013399999409 25.681039999796326 0, -100.20111000012628 25.681059999819297 0, -100.20080000021966 25.681079999842268 0, -100.2002999996451 25.68119999998015 0, -100.19961000020118 25.681210000441354 0, -100.19862000041252 25.681420000233004 0, -100.19848999981349 25.6814499998178 0, -100.19838999969858 25.681420000233004 0, -100.1981700003451 25.68130000009512 0, -100.19756999965563 25.68134999970289 0, -100.19704999995736 25.68126000004912 0, -100.19626000039852 25.6810300002345 0, -100.19639000009829 25.680669999820793 0, -100.19661000035109 25.68009000005361 0, -100.19678999965862 25.679519999848253 0, -100.19709000000336 25.678550000082623 0, -100.19733000027912 25.677850000177557 0, -100.19764000018569 25.677979999877266 0, -100.19867000002034 25.678429999944683 0, -100.19918000015673 25.678679999782332 0, -100.20043000024418 25.679109999826778 0, -100.20185000007729 25.679310000056603 0, -100.20300000004983 25.679279999572486 0, -100.20347000014027 25.679240000425864 0, -100.20374999956266 25.679530000309455 0, -100.20380999963163 25.679760000124077 0, -100.20398999983848 25.679760000124077 0, -100.20417000004534 25.67994000033093 0, -100.20431999976802 25.68007000003064 0))",
Calle José Sixto Verduzco,INFONAVIT LA JOYA 5TO SECT,"POLYGON Z ((-100.20115999973405 25.683160000433816 0, -100.20100000044954 25.683120000387873 0, -100.20076000017372 25.683120000387873 0, -100.20035000015224 25.683109999926728 0, -100.2003399996911 25.683559999994145 0, -100.19934000034061 25.68388000036191 0, -100.19910000006479 25.68388000036191 0, -100.19902600024955 25.68360500027069 0, -100.19889699969661 25.6828830002504 0, -100.19840999972155 25.681610000001683 0, -100.19862000041252 25.681420000233004 0, -100.19961000020118 25.681210000441354 0, -100.2002999996451 25.68119999998015 0, -100.20080000021966 25.681079999842268 0, -100.20111000012628 25.681059999819297 0, -100.20143199968686 25.68254800009032 0, -100.2015600001937 25.683299999695407 0, -100.20115999973405 25.683160000433816 0))",
Calle Juan Bautista Ceballos,ORIZABA,"POLYGON Z ((-100.1961699998455 25.686310000006642 0, -100.19511000042604 25.68647999975235 0, -100.19454000022068 25.68661000035138 0, -100.19388999992339 25.68682000014303 0, -100.19345000031711 25.686929999819824 0, -100.19278999955867 25.687040000395882 0, -100.19239999956017 25.687060000418853 0, -100.19238000043651 25.687060000418853 0, -100.19193999993092 25.68711000002662 0, -100.1915400003706 25.687179999657417 0, -100.1915400003706 25.686869999750854 0, -100.1915400003706 25.686789999658913 0, -100.19154999993242 25.68665000039738 0, -100.19152999990939 25.6862299999147 0, -100.19152000034757 25.685779999847284 0, -100.19152000034757 25.685280000172042 0, -100.1915000003246 25.68401000006162 0, -100.19167999963213 25.68302000027296 0, -100.1916700000703 25.682880000112107 0, -100.19496399998843 25.683077000203582 0, -100.19514000001084 25.683569999556028 0, -100.19569999975505 25.683450000317407 0, -100.19596000005379 25.683649999647912 0, -100.1960600001687 25.68380000026997 0, -100.19608999975355 25.683929999969678 0, -100.1960600001687 25.684389999598977 0, -100.19604000014573 25.684799999620452 0, -100.19602000012276 25.685249999687926 0, -100.19608000019173 25.685630000124547 0, -100.19612000023767 25.685940000031167 0, -100.1961699998455 25.686310000006642 0))",
Calle Manuel Flores Varela,RIBERAS DEL RIO,"POLYGON Z ((-100.2214300000943 25.685130000449305 0, -100.2214599996791 25.684660000358917 0, -100.22151000018619 25.68401000006162 0, -100.21981999959314 25.683959999554475 0, -100.21901000001134 25.683940000430823 0, -100.21860999955169 25.683929999969678 0, -100.21734000034058 25.683909999946707 0, -100.2163499996526 25.68394999999265 0, -100.21623999997587 25.68394999999265 0, -100.21564999974754 25.683970000015677 0, -100.21523000016424 25.683979999577502 0, -100.2151500000723 25.683559999994145 0, -100.21506999998036 25.682869999650904 0, -100.21506999998036 25.68222999981481 0, -100.2150800004415 25.681690000093568 0, -100.21447999975203 25.681679999632422 0, -100.21453000025917 25.681329999679917 0, -100.21539000034807 25.68124000002615 0, -100.21598499990768 25.680565000374656 0, -100.21696099995006 25.67977399987035 0, -100.21740000040955 25.678718999782177 0, -100.21790300022315 25.67713699967294 0, -100.21855399966722 25.676066999792397 0, -100.21940000000984 25.675490000163563 0, -100.220039999846 25.675619999863272 0, -100.22135999956419 25.675889999723893 0, -100.22124000032562 25.676390000298454 0, -100.22089999993489 25.67631999976834 0, -100.22084700018877 25.67653799992894 0, -100.22193500000009 25.67764499971713 0, -100.22194999979251 25.677270000410374 0, -100.22202000032263 25.67695000004261 0, -100.22208999995337 25.676560000044105 0, -100.22219000006828 25.676060000368864 0, -100.22321000034111 25.676279999722396 0, -100.22410000001486 25.676470000390395 0, -100.22492999961963 25.676620000113076 0, -100.22524999998734 25.676680000182046 0, -100.2249959999653 25.677681999624724 0, -100.2278480001849 25.677629999924704 0, -100.22880000001982 25.67734999960294 0, -100.22914999997238 25.677400000110083 0, -100.23089999973507 25.677730000039617 0, -100.23079000005833 25.678630000174508 0, -100.23075999957416 25.678880000012157 0, -100.23070000040457 25.679339999641456 0, -100.23058000026663 25.680520000098113 0, -100.23050999973657 25.681480000301917 0, -100.23046999969057 25.68286000008908 0, -100.22982000029265 25.68306999988073 0, -100.22973299987791 25.684601000336045 0, -100.22932299985644 25.684589999828802 0, -100.22876100001997 25.68477999959748 0, -100.22808300023013 25.684979999827306 0, -100.22767300020865 25.68511699984981 0, -100.22700600002673 25.68512800035711 0, -100.22638600021361 25.68514900042618 0, -100.2258479996853 25.68530699961849 0, -100.22457000010525 25.685630000124547 0, -100.22399000033812 25.686029999684877 0, -100.22332999957968 25.685879999962197 0, -100.22293000001935 25.685819999893226 0, -100.2225299995597 25.685759999824313 0, -100.22210000041451 25.68571000021649 0, -100.22139999961013 25.685890000423342 0, -100.22137999958716 25.685610000101576 0, -100.2214300000943 25.685130000449305 0))",
Privada Valentin Canalizo,RINCON DE LA HACIENDA 1ER SECT,"POLYGON Z ((-100.18773999960115 25.687580000117066 0, -100.18764999994738 25.686109999776818 0, -100.18764999994738 25.685380000286955 0, -100.18766999997035 25.684839999666394 0, -100.18768999999338 25.684460000129093 0, -100.18777000008527 25.683740000201 0, -100.18799000033812 25.683749999762824 0, -100.18863000017421 25.683809999831794 0, -100.19037000037508 25.683940000430823 0, -100.1904499995677 25.684739999551482 0, -100.19048000005182 25.684979999827306 0, -100.1904499995677 25.685070000380392 0, -100.19033999989091 25.685130000449305 0, -100.19017999970708 25.685149999573014 0, -100.18992999986943 25.685149999573014 0, -100.1898200001927 25.68518000005713 0, -100.18976999968561 25.685269999710897 0, -100.18978000014675 25.685570000055634 0, -100.18976000012378 25.68602000012305 0, -100.18976000012378 25.68641999968338 0, -100.18974999966258 25.68682000014303 0, -100.18974000010076 25.687330000279474 0, -100.18968999959367 25.687459999979183 0, -100.1893399996411 25.68750999958695 0, -100.18916999989546 25.68756999965592 0, -100.18812000003783 25.687959999654424 0, -100.18793999983097 25.688039999746366 0, -100.18771000001635 25.68809999981528 0, -100.18773999960115 25.687580000117066 0))",
Calle Lima,RINCON DE LA HACIENDA 2DO SECT,"POLYGON Z ((-100.18968999959367 25.687459999979183 0, -100.18978999970858 25.68811000027648 0, -100.18984000021567 25.688380000137045 0, -100.1898499997775 25.68844999976784 0, -100.18986999980052 25.688799999720402 0, -100.18883999996586 25.68889000027343 0, -100.18775999962412 25.688939999881256 0, -100.18771000001635 25.68809999981528 0, -100.18793999983097 25.688039999746366 0, -100.18812000003783 25.687959999654424 0, -100.18916999989546 25.68756999965592 0, -100.1893399996411 25.68750999958695 0, -100.18968999959367 25.687459999979183 0))",
Calle José Manuel Herrera,RIO,"POLYGON Z ((-100.20821000019123 25.68368999969391 0, -100.20895999970406 25.68368999969391 0, -100.20940999977154 25.683709999716882 0, -100.20999999999987 25.683729999739853 0, -100.21036999997534 25.683749999762824 0, -100.21086000008876 25.68380000026997 0, -100.21135000020217 25.683869999900764 0, -100.21240999962163 25.684019999623445 0, -100.21254000022066 25.684039999646416 0, -100.21289000017322 25.684099999715386 0, -100.21396000005382 25.68405000010756 0, -100.21414000026067 25.684039999646416 0, -100.2147600000738 25.683999999600474 0, -100.21523000016424 25.683979999577502 0, -100.21564999974754 25.683970000015677 0, -100.21623999997587 25.68394999999265 0, -100.21625999999884 25.6858100003314 0, -100.2159999997001 25.685799999870255 0, -100.21509999956515 25.685759999824313 0, -100.21387000040005 25.685739999801342 0, -100.213719999778 25.685739999801342 0, -100.21367999973205 25.685960000054138 0, -100.21221999985295 25.685940000031167 0, -100.21075999997385 25.685940000031167 0, -100.21061999981299 25.685949999592992 0, -100.21032000036757 25.685969999615963 0, -100.21024000027563 25.685839999916254 0, -100.20987999986198 25.685400000309926 0, -100.20956999995536 25.685079999942218 0, -100.20921000044103 25.684709999966685 0, -100.20885999958915 25.68434999955298 0, -100.20860000018973 25.68409000015356 0, -100.20844000000585 25.683929999969678 0, -100.20821000019123 25.68368999969391 0))",
Calle Venustiano Carranza,SAN AGUSTIN,"POLYGON Z ((-100.22344999971756 25.69111000012657 0, -100.22317999985694 25.69125999984925 0, -100.22299000008826 25.69127999987228 0, -100.22288999997335 25.691370000425366 0, -100.2224599999289 25.690680000082125 0, -100.2216500003471 25.690989999988687 0, -100.2211699997955 25.690450000267447 0, -100.22079999981997 25.69018999996871 0, -100.2203600002137 25.690020000223 0, -100.22063000007432 25.68924999978782 0, -100.22075999977403 25.689209999741877 0, -100.22081000028112 25.68912000008811 0, -100.22079000025815 25.689069999580965 0, -100.22083000030415 25.6889799999272 0, -100.22089000037306 25.6883810001832 0, -100.22196999981549 25.68846999979081 0, -100.22334999960265 25.688569999905724 0, -100.22451999959816 25.68864000043584 0, -100.22557999991693 25.68871999962846 0, -100.22555000033208 25.689260000248964 0, -100.22549999982499 25.68971000031644 0, -100.2254300001942 25.690640000036126 0, -100.2253799996871 25.69111000012657 0, -100.22438000033662 25.691039999596455 0, -100.22360000033962 25.691059999619426 0, -100.22344999971756 25.69111000012657 0))",
Calle Ignacio Comonfort,UNION,"POLYGON Z ((-100.22399000033812 25.686029999684877 0, -100.22457000010525 25.685630000124547 0, -100.2258479996853 25.68530699961849 0, -100.22584000021567 25.68573000023946 0, -100.22580999973155 25.68602000012305 0, -100.22578000014676 25.68649999977532 0, -100.22574000010076 25.686769999635942 0, -100.22572999963961 25.68694000028097 0, -100.22570000005481 25.687319999818328 0, -100.22510999982649 25.68727999977233 0, -100.22463999973604 25.687250000187532 0, -100.22442000038257 25.687239999726387 0, -100.22389999978503 25.687210000141533 0, -100.22348000020168 25.687179999657417 0, -100.22208999995337 25.68706999998068 0, -100.22210000041451 25.68571000021649 0, -100.2225299995597 25.685759999824313 0, -100.22293000001935 25.685819999893226 0, -100.22332999957968 25.685879999962197 0, -100.22399000033812 25.686029999684877 0))",
Privada Xicoténcatl,UNION MODELO,"POLYGON Z ((-100.2057700000853 25.684420000083094 0, -100.20587999976203 25.684729999989656 0, -100.20603000038409 25.68518000005713 0, -100.20614999962265 25.6856599997094 0, -100.20624999973757 25.68606000016905 0, -100.20634999985248 25.68653999982132 0, -100.20647999955219 25.687000000349883 0, -100.20659999969007 25.687450000417357 0, -100.20671999982795 25.68789000002363 0, -100.20700000014972 25.68945700034044 0, -100.20529999999485 25.690009999761855 0, -100.20507999974205 25.689819999993176 0, -100.20488000041155 25.689690000293467 0, -100.20443000034408 25.689510000086614 0, -100.20390999974654 25.689429999994672 0, -100.20361999986295 25.689439999556498 0, -100.20335999956416 25.689490000063643 0, -100.2030899997036 25.689570000155527 0, -100.20283999986594 25.689679999832265 0, -100.20250000037458 25.689909999646943 0, -100.20086000028863 25.68842999974487 0, -100.20037000017521 25.688300000045103 0, -100.20035999971407 25.68801000016157 0, -100.19971000031609 25.688090000253453 0, -100.19945000001735 25.688079999792308 0, -100.19891000029611 25.68799000013854 0, -100.19899000038805 25.68756999965592 0, -100.19848999981349 25.68750999958695 0, -100.19856999990543 25.687029999934737 0, -100.1985600003436 25.686840000166058 0, -100.19852999985943 25.685940000031167 0, -100.20057999996686 25.68557999961746 0, -100.20072000012777 25.68555999959449 0, -100.2016899998934 25.685400000309926 0, -100.20306999968057 25.685169999595985 0, -100.20392999976951 25.685030000334393 0, -100.20445999992893 25.68491000019651 0, -100.20507999974205 25.684709999966685 0, -100.2057700000853 25.684420000083094 0))",
