Usuario,Nombre,Fecha,Texto,Likes,Retweets,Comentarios,Citas,Enlace,Imágenes,Videos,GIFs
@Cicmty,CIC,"Jun 20, 2024 · 3:00 AM UTC",,14,0,1,0,https://twitter.com/Cicmty/status/1803623991372030472#m,['https://pbs.twimg.com/media/GQfCdaYaIAALMvR.jpg'],,
@Cicmty,CIC,"Jun 20, 2024 · 2:54 AM UTC",💧#CuidadoDelAgua sin suministro de agua en la Col. Ciudad Ideal #SanNicolás vía @LAURA_35 cc @ayd_monterrey,6,0,1,0,https://twitter.com/Cicmty/status/1803622434119331947#m,,,
@Cicmty,CIC,"Jun 20, 2024 · 2:40 AM UTC","💡#ServicioDeElectricidad sin servicio en 5a. Avenida entre Av. Raúl Rangel Frías y 26A. Avenida, Col. Cumbres 2do. Sector #Monterrey vía wsp cc @CFE_Contigo",7,2,3,0,https://twitter.com/Cicmty/status/1803618975412265375#m,,,
@Cicmty,CIC,"Jun 20, 2024 · 2:30 AM UTC","#BanquetaObstruida por vehículos estacionados en Av Matehuala 3304 entre Saltillo y Monclova, Col. Mitras Centro #Monterrey vía #CIVIX @ComunidadMitras cc @SSPCMonterrey",7,0,1,0,https://twitter.com/Cicmty/status/1803616426558890076#m,"['https://pbs.twimg.com/media/GQe7klwbcAAivmc.jpg', 'https://pbs.twimg.com/media/GQe7klxakAEwJER.jpg']",,
@Cicmty,CIC,"Jun 20, 2024 · 2:07 AM UTC","#TransportePúblico rutas que suspenden labores A202, Apoyo 155, 6, 31, 85, 172, 185, 207, 223 solamente llegarán hasta estación Santa Lucía, 224, 400 y 505 Circuito Valle #NuevoLeón vía @IMyANL  Permítenos ayudar a más ciudadanos como tú. Dona ahora https://dona.cic.mx",25,27,0,2,https://twitter.com/Cicmty/status/1803610714890027248#m,"['https://pbs.twimg.com/media/GQe1lscaIAAmHMX.jpg', 'https://pbs.twimg.com/media/GQe1lsaaIAA-EWZ.jpg']",,
@Cicmty,CIC,"Jun 20, 2024 · 2:01 AM UTC","¡Atención! Sigue las recomendaciones que aquí te compartimos para mantenerte seguro.  En caso de emergencia, llama al 911 ⚠️⛈ Reporta cualquier incidente, zona de riesgo o inundación en reportar.cic.mx #Prevención #Emergencias #Alberto",7,4,1,0,https://twitter.com/Cicmty/status/1803609079648051321#m,['https://pbs.twimg.com/media/GQe05bQWEAQ2XGa.jpg'],,
@Cicmty,CIC,"Jun 20, 2024 · 1:49 AM UTC","🔥#Incendio en cables de electricidad de Manuel González y General Porfirio Díaz, Col. Centro #SanPedro vía @freddymenchaca cc @CFE_Contigo @911SanPedro ZGI44A",3,2,1,0,https://twitter.com/Cicmty/status/1803606173142360132#m,,,
@Cicmty,CIC,"Jun 20, 2024 · 1:33 AM UTC","💧#CuidadoDelAgua fuga de agua limpia en medidor de Av. Lázaro Cárdenas 214 entre Damián Carmona y El Roble, Col. Leones #Monterrey vía @DianaTovarT cc @ayd_monterrey   Permítenos ayudar a más ciudadanos como tú. Dona ahora https://dona.cic.mx",10,3,1,0,https://twitter.com/Cicmty/status/1803602116315062466#m,['https://pbs.twimg.com/media/GQeuap1aIAIkx3p.jpg'],,
@Cicmty,CIC,"Jun 20, 2024 · 1:16 AM UTC","🚦#SemáforoDescompuesto luces rojas parpadeando en Dr. Julián Villarreal y Santiago Tapia, Col. Centro #Monterrey vía @NadyaKarine cc @SEDUSOMonterrey @SSPCMonterrey QCP6J1",2,1,0,0,https://twitter.com/Cicmty/status/1803597672106045555#m,,,
@Cicmty,CIC,"Jun 20, 2024 · 1:11 AM UTC","💡#ServicioDeElectricidad sin servicio en Juan Ignacio Ramón 430 entre Porfirio Díaz y Serafín Peña, Col. Centro #Monterrey cc @CFE_Contigo",3,1,0,0,https://twitter.com/Cicmty/status/1803596547613167880#m,,,
@Cicmty,CIC,"Jun 20, 2024 · 1:09 AM UTC",⚠️#Vialidades 🚧#Cerradas 19:08 #NuevoLeón,84,50,1,1,https://twitter.com/Cicmty/status/1803595921747484924#m,['https://pbs.twimg.com/media/GQeowy0bIAAgiZ1.jpg'],,
@Cicmty,CIC,"Jun 20, 2024 · 1:01 AM UTC",🌧️ Mantente seguro durante la tormenta tropical #Alberto.  Consulta el directorio de albergues permanentes del DIF Nuevo León y sigue las indicaciones de las autoridades: nl.gob.mx/publicaciones/albe… 🏠  #TormentaTropicalAlberto #ProtecciónCivil #AlberguesSeguros,2,3,0,0,https://twitter.com/Cicmty/status/1803593986902294587#m,['https://pbs.twimg.com/media/GQenK8dXkAAce3L.jpg'],,
@Cicmty,CIC,"Jun 20, 2024 · 12:52 AM UTC","💡#ServicioDeElectricidad sin servicio en José Alvarado Santos entre Av. Raúl Salinas Lozano y Dr. Ignacio Morones Prieto, Col. Felipe Carrillo Puerto #Escobedo vía @Fa_Me_edna cc @CFE_Contigo",10,0,0,1,https://twitter.com/Cicmty/status/1803591843822838188#m,,,
@Cicmty,CIC,"Jun 20, 2024 · 12:48 AM UTC",⚠️#Vialidad cerrada en Av. Sendero Divisorio en retorno hacia la Aurora #SanNicolás 18:10 vía @GobSanNicolas,10,2,0,0,https://twitter.com/Cicmty/status/1803590712497168867#m,,,
@Cicmty,CIC,"Jun 20, 2024 · 12:42 AM UTC",⚠️#Vialidad cerrada por encharcamiento en Av. Rodrigo Gómez y Av. Penitenciaria #Monterrey 18:37 vía @pc_mty,33,10,1,2,https://twitter.com/Cicmty/status/1803589294621094101#m,['https://pbs.twimg.com/media/GQei4m-XYAAsBzY.jpg'],,
@Cicmty,CIC,"Jun 20, 2024 · 12:40 AM UTC",#Actualización la Ruta 223 PabloLivas Teófilo Salinas Quintas Las Sabinas San Francisco solamente llegarán hasta estación Santa Lucía.,3,0,0,0,https://twitter.com/Cicmty/status/1803588673637851462#m,['https://pbs.twimg.com/media/GQeiVbMaIAEjOwM.jpg'],,
@Cicmty,CIC,"Jun 20, 2024 · 12:37 AM UTC","#Inundación en  Santa Rosa - Mezquital y Calle Gaseoducto, evite la zona #Apodaca 18:11 vía @Apodaca_News",7,1,1,0,https://twitter.com/Cicmty/status/1803587992411386062#m,,,
@Cicmty,CIC,"Jun 20, 2024 · 12:32 AM UTC","💡#ServicioDeElectricidad sin servicio en Pino Blanco y Alamo,Col. Bosques Real #Apodaca vía @J_J_Ovalle cc @CFE_Contigo 4FC9CL",3,0,0,0,https://twitter.com/Cicmty/status/1803586811056496656#m,,,
@Cicmty,CIC,"Jun 20, 2024 · 12:30 AM UTC",#Actualización el equipo de Jaguares de Protección Civil de Santa Catarina @stacatarinagob rescataron al perrito 🙏🏽🙌🏽,70,6,1,2,https://twitter.com/Cicmty/status/1803586159798522245#m,,,
@Cicmty,CIC,"Jun 20, 2024 · 12:26 AM UTC",⚠️#Vialidad reportan lluvia intermitente pero fuerte en la zona centro de #SalinasVictoria 18:25 vía @danilouanl,4,0,0,0,https://twitter.com/Cicmty/status/1803585243867402397#m,,,
@Cicmty,CIC,"Jun 20, 2024 · 12:23 AM UTC","#Registro sin tapa en Paseo de los Estudiantes y Paseo de La Montaña, Col. Cumbres 2o. Sector #Monterrey vía wsp cc @ayd_monterrey",2,3,1,1,https://twitter.com/Cicmty/status/1803584326254432543#m,,,
@Cicmty,CIC,"Jun 20, 2024 · 12:20 AM UTC","#PosteDañado por caer en Paseo de los Estudiantes y Paseo del Acantilado, Col. Cumbres 2o. Sector #Monterrey vía wsp cc @CFE_Contigo @pc_mty",7,1,0,0,https://twitter.com/Cicmty/status/1803583690322419839#m,['https://pbs.twimg.com/media/GQedzn2aIAExX_w.jpg'],,
@Cicmty,CIC,"Jun 20, 2024 · 12:18 AM UTC",#Inundación en Av. Andrómeda y Gasoducto #Apodaca 18:17 vía @Apodaca_News cc @PC_NuevoLeon @StacLinea,1,1,1,0,https://twitter.com/Cicmty/status/1803583087047221525#m,,,
@Cicmty,CIC,"Jun 20, 2024 · 12:15 AM UTC","#TransportePúblico rutas que al momento suspenden labores A202, 6 Fama Aurora Mirador Santa García, 85, 172, 185, 224, Apoyo 155 y 505 Circuito Valle #NuevoLeón vía @IMyANL   Permítenos ayudar a más ciudadanos como tú. Dona ahora https://dona.cic.mx",26,23,1,0,https://twitter.com/Cicmty/status/1803582341836837140#m,"['https://pbs.twimg.com/media/GQecWoGaIAA0s7z.jpg', 'https://pbs.twimg.com/media/GQecWm9aIAESfFy.jpg', 'https://pbs.twimg.com/media/GQecWm8bkAApkSu.jpg', 'https://pbs.twimg.com/media/GQecWm_a4AALTeu.jpg']",,
@Cicmty,CIC,"Jun 19, 2024 · 11:52 PM UTC","#Bache socavón en Av. Del Colector y Padua, Col. Paseo de las Flores #Apodaca vía @Gufra_quin cc @StacLinea N54TP5  Permítenos ayudar a más ciudadanos como tú. Dona ahora https://dona.cic.mx",15,4,0,0,https://twitter.com/Cicmty/status/1803576617878561062#m,['https://pbs.twimg.com/media/GQeXX79aIAEvNBZ.jpg'],,
