Usuario,Nombre,Fecha,Texto,Likes,Retweets,Comentarios,Citas,Enlace,Imágenes
@Cicmty,CIC,"Jun 22, 2024 · 8:13 PM UTC","💧#CuidadoDelAgua fuga de agua negras en A. Fidel Velázquez y Av. Rodrigo Gómez, Col. Mitras Norte #Monterrey vía @ComunidadMitras cc @ayd_monterrey  3NGF2G",1,0,1,0,https://twitter.com/Cicmty/status/1804608548091117742#m,['https://pbs.twimg.com/media/GQtBswiawAAiPUr.jpg']
@Cicmty,CIC,"Jun 22, 2024 · 8:06 PM UTC","💡#ServicioDeElectricidad sin servicio en Av. Del Acueducto y Portales, Col. Colinas del Sur #Monterrey vía @SoyReyMarcos cc @CFE_Contigo YD7A6Q",1,0,0,0,https://twitter.com/Cicmty/status/1804606905039638792#m,
@Cicmty,CIC,"Jun 22, 2024 · 7:39 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Infonavit la Huasteca #SantaCatarina vía @La__Gerencia cc @ayd_monterrey 3QHEZF,0,0,1,0,https://twitter.com/Cicmty/status/1804600147541999814#m,
@Cicmty,CIC,"Jun 22, 2024 · 7:30 PM UTC","💡#ServicioDeElectricidad sin servicio en 13a Avenida y 30a Avenida, Col. Cumbres 2do. Sector #Monterrey vía @Branelli cc @CFE_Contigo GSW4FA",2,0,0,0,https://twitter.com/Cicmty/status/1804597724744147118#m,
@Cicmty,CIC,"Jun 22, 2024 · 7:23 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Cumbres del Valle #SanPedro vía @mexiescondida cc @ayd_monterrey D91J1D,1,0,1,0,https://twitter.com/Cicmty/status/1804596057592181039#m,
@Cicmty,CIC,"Jun 22, 2024 · 7:19 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Urbivilla del Prado #García vía @Alex_LyL6 cc @ayd_monterrey GZK1CJ,0,0,1,0,https://twitter.com/Cicmty/status/1804595164343935328#m,
@Cicmty,CIC,"Jun 22, 2024 · 7:11 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Protexa #SantaCatarina vía @ScarlettR0 cc @ayd_monterrey SL8LTJ,1,0,1,0,https://twitter.com/Cicmty/status/1804593056941015356#m,
@Cicmty,CIC,"Jun 22, 2024 · 7:02 PM UTC",🚦#SemáforoDescompuesto apagado en Felipe de Jesús Benavides y Av. Pablo González Garza #Monterrey vía @ColinasSanJeron cc @SSPCMonterrey WFMGKW,0,0,0,1,https://twitter.com/Cicmty/status/1804590890255888611#m,
@Cicmty,CIC,"Jun 22, 2024 · 6:58 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Cooperativa la Unión #SantaCatarina vía @Calguran cc @ayd_monterrey 1C8FOL,0,0,0,0,https://twitter.com/Cicmty/status/1804589797463486538#m,
@Cicmty,CIC,"Jun 22, 2024 · 6:27 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Bosques de Santa Catarina vía @MrEdgardo100 cc @ayd_monterrey 898M4D,3,2,2,0,https://twitter.com/Cicmty/status/1804582103381954755#m,
@Cicmty,CIC,"Jun 22, 2024 · 6:25 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Revolución #SanPedro vía @aarontienda cc @ayd_monterrey F75TIU,4,1,0,0,https://twitter.com/Cicmty/status/1804581368393031933#m,
@Cicmty,CIC,"Jun 22, 2024 · 6:18 PM UTC","#RecolecciónDeBasura  solicitan desazolve en Bernardo Cobos y Joaquín Hernández, Col. Mártires de Cananeas #SantaCatarina vía @fer_ros_gor cc @stacatarinagob UFRTIC",1,0,0,1,https://twitter.com/Cicmty/status/1804579799194903005#m,['https://pbs.twimg.com/media/GQsmon_agAAcRJy.jpg']
@Cicmty,CIC,"Jun 22, 2024 · 6:00 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Prados del Rey #SantaCatarina vía @xxxavicruz cc @ayd_monterrey 4PFNBI,0,0,0,0,https://twitter.com/Cicmty/status/1804575122130698408#m,
@Cicmty,CIC,"Jun 22, 2024 · 5:57 PM UTC","#Ambiental árbol a punto de caer en  Carr. Nacional y Palmares, Col. la Toscana #Monterrey vía @kikatrevino cc @pc_mty ADQ37M",5,0,0,0,https://twitter.com/Cicmty/status/1804574382377062468#m,['https://pbs.twimg.com/media/GQshT4fbUAA32EO.jpg']
@Cicmty,CIC,"Jun 22, 2024 · 5:27 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. López Mateos  #SantaCatarina vía  @Nuevemila cc @ayd_monterrey LDIWDJ,4,0,2,0,https://twitter.com/Cicmty/status/1804566896379064701#m,
@Cicmty,CIC,"Jun 22, 2024 · 5:18 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Brisas de Valle Alto #Monterrey vía @mireya_ts cc @ayd_monterrey Q0R3KH,1,0,1,0,https://twitter.com/Cicmty/status/1804564594826084664#m,
@Cicmty,CIC,"Jun 22, 2024 · 5:16 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Lomas del Vergel #Monterrey vía @MtyFollow cc @ayd_monterrey RI46GZ,2,0,1,0,https://twitter.com/Cicmty/status/1804564088070217948#m,
@Cicmty,CIC,"Jun 22, 2024 · 5:08 PM UTC",#CuidadoDelAgua sin suministro en la Col. Bosques de la Huasteca #SantaCatarina vía @Liliana04780329 cc @ayd_monterrey MHCEUD,4,1,0,0,https://twitter.com/Cicmty/status/1804562198565638365#m,
@Cicmty,CIC,"Jun 22, 2024 · 5:06 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Colinas del Valle #Monterrey vía @odamralu cc @ayd_monterrey 01QOJJ,1,2,0,0,https://twitter.com/Cicmty/status/1804561555499200972#m,
@Cicmty,CIC,"Jun 22, 2024 · 5:00 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. San Pedro 400 #SanPedro vía @dua291 cc @ayd_monterrey GJ5TL6,4,1,1,0,https://twitter.com/Cicmty/status/1804560129444270450#m,
@Cicmty,CIC,"Jun 22, 2024 · 4:51 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Real del Valle #SantaCatarina vía @mariateresato11 cc @ayd_monterrey 75ASRF,3,1,1,0,https://twitter.com/Cicmty/status/1804557810761609379#m,
@Cicmty,CIC,"Jun 22, 2024 · 4:47 PM UTC","🚦#SemáforoDescompuesto apagado en Vicente Guerrero y Reforma, Col. Centro #Monterrey vía @cesar_gzz cc @SSPCMonterrey I5XMDB",0,0,0,0,https://twitter.com/Cicmty/status/1804556741688144324#m,
@Cicmty,CIC,"Jun 22, 2024 · 4:41 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Viñedos #SantaCatarina vía @RoberMtzV cc @ayd_monterrey J540E2,1,0,0,0,https://twitter.com/Cicmty/status/1804555292027629637#m,
@Cicmty,CIC,"Jun 22, 2024 · 4:34 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Cordilleras del Virrey #SantaCatarina vía @Sandy_Gzz1 cc @ayd_monterrey D3G8Z9,4,1,0,0,https://twitter.com/Cicmty/status/1804553622686167107#m,
@Cicmty,CIC,"Jun 22, 2024 · 4:26 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Residencial de la Sierra #SantaCatarina vía @aherreratorres cc @ayd_monterrey 7W7HC1,2,1,0,0,https://twitter.com/Cicmty/status/1804551625274703985#m,
@Cicmty,CIC,"Jun 22, 2024 · 4:23 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. San Humberto #SantaCatarina vía @alexa16cs cc @ayd_monterrey 5WCOZS,1,0,1,0,https://twitter.com/Cicmty/status/1804550887777747122#m,
@Cicmty,CIC,"Jun 22, 2024 · 4:19 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Cumbres del Valle #SanPedro vía @othoramos cc @ayd_monterrey MRFL7E,1,0,0,1,https://twitter.com/Cicmty/status/1804549682078826629#m,
@Cicmty,CIC,"Jun 22, 2024 · 4:16 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Lomas de Santa Catarina #SantaCatarina vía @Carlongos1 cc @ayd_monterrey  1KJCBM,4,1,0,0,https://twitter.com/Cicmty/status/1804548972780126387#m,
@Cicmty,CIC,"Jun 22, 2024 · 4:13 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Misión de la Huasteca #SantaCatarina vía @LuisChao6 cc @ayd_monterrey 6UJ2HB,1,1,0,0,https://twitter.com/Cicmty/status/1804548368674541728#m,
