Usuario,Nombre,Fecha,Texto,Likes,Retweets,Comentarios,Citas,Enlace,Videos,Imágenes
@conagua_mx,Conagua,"Jun 23, 2024 · 2:36 PM UTC",¡Buen día! Conoce el #PronósticoDelTiempo que prevalecerá las próximas horas en el territorio nacional y toma tus precauciones,13,4,0,0,https://twitter.com/conagua_mx/status/1804886334458212708#m,['https://video.twimg.com/ext_tw_video/1804886280515301377/pu/vid/avc1/640x360/RJGOCrC5eV3k6u-y.mp4?tag=12'],
@conagua_mx,Conagua,"Jun 23, 2024 · 2:31 PM UTC","Hoy prevalecerán #Lluvias torrenciales en #NuevoLeón, #SanLuisPotosí, #Tamaulipas y #Veracruz.   Más información en:https://www.gob.mx/conagua/prensa/hoy-prevaleceran-lluvias-torrenciales-en-nuevo-leon-san-luis-potosi-tamaulipas-y-veracruz",11,3,0,1,https://twitter.com/conagua_mx/status/1804885092281589971#m,,['https://pbs.twimg.com/media/GQw9bWVXMAAm1gp.jpg']
@conagua_mx,Conagua,"Jun 23, 2024 · 3:15 AM UTC","Se pronostican #Lluvias torrenciales en #Tamaulipas y #Veracruz, e intensas en ocho entidades más.  Más información en: https://www.gob.mx/conagua/prensa/se-pronostican-lluvias-torrenciales-en-tamaulipas-y-veracruz-e-intensas-en-ocho-entidades-mas-368920",45,11,0,0,https://twitter.com/conagua_mx/status/1804714838263754983#m,,['https://pbs.twimg.com/media/GQuilQ3WIAAE8sO.jpg']
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 22, 2024 · 10:03 PM UTC","Hasta el momento, se han desalojado 243 m3 de #Aguas anegadas en Cd. Madero, y se instalaron 2 equipos más de bombeo en Altamira. La #Conagua continúa trabajando estrechamente con las autoridades locales y de #ProtecciónCivil para la protección de los centros de población",12,3,1,0,https://twitter.com/GermanMSantoyo/status/1804636269651050968#m,,['https://pbs.twimg.com/media/GQtbH9HXIAEIicG.jpg']
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 22, 2024 · 10:03 PM UTC","Debido a las #Lluvias provocadas por la #BajaPresión en el #GolfoDeMéxico, la #Conagua continúa con los operativos de bombeo de #Agua en zonas inundadas del municipio de Cd. Madero, en #Tamaulipas, y la población de El Higo, en #Veracruz, mediante su Brigada #PIAE",23,13,4,0,https://twitter.com/GermanMSantoyo/status/1804636266069123400#m,,['https://pbs.twimg.com/media/GQtbHwyWsAARo62.jpg']
@conagua_mx,Conagua,"Jun 22, 2024 · 2:34 PM UTC",Hoy se pronostican #Lluvias torrenciales en el sur de #Tamaulipas y el norte de #Veracruz.   Más información en:  https://www.gob.mx/conagua/prensa/hoy-se-pronostican-lluvias-torrenciales-en-el-sur-de-tamaulipas-y-el-norte-de-veracruz,41,8,0,0,https://twitter.com/conagua_mx/status/1804523443301286168#m,,['https://pbs.twimg.com/media/GQr0gl5XkAAwUge.jpg']
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 22, 2024 · 2:28 PM UTC","El #SMNmx mantiene en vigilancia una zona de #BajaPresión al suroeste del Golfo de México, con 50 % de probabilidad de desarrollo ciclónico.  A las 06:00 hrs., tiempo del centro, se ubicó a 130 km al noreste de Laguna Verde, Vcz. y se desplaza lentamente hacia el oeste-noroeste.",25,10,2,0,https://twitter.com/GermanMSantoyo/status/1804521844042584491#m,,['https://pbs.twimg.com/media/GQry4qOWQAAT1Jk.jpg']
@conagua_mx,Conagua,"Jun 22, 2024 · 1:45 AM UTC","Se pronostican #Lluvias torrenciales para #Oaxaca, #Puebla y #Veracruz.  Más información en: https://www.gob.mx/conagua/prensa/se-pronostican-lluvias-torrenciales-para-oaxaca-puebla-y-veracruz-368887",32,7,1,0,https://twitter.com/conagua_mx/status/1804329959155958068#m,,['https://pbs.twimg.com/media/GQpEh-VakAA7os1.jpg']
@conagua_mx,Conagua,"Jun 21, 2024 · 10:01 PM UTC","#QueNoSeTePase Te compartimos un resumen con los datos más relevantes de la  videoconferencia de prensa, en la que se informó sobre el #TemporalDeLluvias y la #BajaPresión al sur de la #PenínsulaDeYucatán",24,5,1,0,https://twitter.com/conagua_mx/status/1804273401420296526#m,,['https://pbs.twimg.com/media/GQoRF-aakAYR6R-.jpg']
@conagua_mx,Conagua,"Jun 21, 2024 · 9:44 PM UTC","📝#Comunicado Por temporal de #Lluvias y nueva #BajaPresión en el #GolfoDeMéxico, se emite llamado a extremar medidas de prevención.  Más información en: https://www.gob.mx/conagua/prensa/por-temporal-de-lluvias-y-nueva-baja-presion-en-el-golfo-de-mexico-se-emite-llamado-a-extremar-medidas-de-prevencion",13,6,0,0,https://twitter.com/conagua_mx/status/1804269219258765732#m,,['https://pbs.twimg.com/media/GQoNLy8XYAAyfCm.jpg']
@conagua_mx,Conagua,"Jun 21, 2024 · 6:43 PM UTC","#Comunicado #Conagua, @SacmexCDMX, #SAGUA-#CAEM informan ajuste de caudales del Sistema #Cutzamala.  Más información en: https://www.gob.mx/conagua/prensa/conagua-sacmex-sagua-caem-informan-ajuste-de-caudales-del-sistema-cutzamala",24,13,5,4,https://twitter.com/conagua_mx/status/1804223704131355079#m,,['https://pbs.twimg.com/media/GQnj5gBakAALuXi.jpg']
@conagua_mx,Conagua,"Jun 21, 2024 · 5:39 PM UTC","Te invitamos hoy, a las 14:00 horas, tiempo del centro, a la videoconferencia de prensa para informar sobre el #TemporalDeLluvias y la #BajaPresión al sur de la Península de Yucatán.  ¡Mantente informad@! Sigue la transmisión por nuestro #FBLive",44,14,1,1,https://twitter.com/conagua_mx/status/1804207489707393103#m,,['https://pbs.twimg.com/media/GQnVJMqbAAA6CBi.jpg']
@ConaguaCampeche,Conagua Campeche,"Jun 21, 2024 · 4:06 PM UTC","#Conagua se mantiene atenta a las condiciones en otras entidades, con el fin de implementar acciones emergentes, en coordinación interinstitucional",11,1,0,0,https://twitter.com/ConaguaCampeche/status/1804184018558075093#m,,['https://pbs.twimg.com/media/GQm_za2WEAEKJUH.jpg']
@ConaguaCampeche,Conagua Campeche,"Jun 21, 2024 · 4:05 PM UTC","Luego de las #Lluvias torrenciales registradas en #Campeche, se apoya a la población de las zonas bajas inundadas. Además, se bombea #Agua sobre la autopista Champotón-Campeche, en el cruce del arroyo Si-ho",10,3,1,0,https://twitter.com/ConaguaCampeche/status/1804183798298361917#m,,['https://pbs.twimg.com/media/GQm_mpPX0AIf-bc.jpg']
@ConaguaCampeche,Conagua Campeche,"Jun 21, 2024 · 4:04 PM UTC","#Conagua, mediante las Brigadas #PIAE, implementa un operativo de desalojo de agua en la localidad de Villa Madero, en el municipio de Seybaplaya, #Campeche",10,4,1,0,https://twitter.com/ConaguaCampeche/status/1804183739242602890#m,,['https://pbs.twimg.com/media/GQm_jG9XoAAMBfn.jpg']
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 21, 2024 · 2:58 PM UTC","🌧️Un canal de #BajaPresión en la Sierra Madre Occidental y centro de 🇲🇽 provocará #Lluvias torrenciales en Gro., Oax., Pue. y Ver.; intensas en Camp., Tamps., Chis., Col., Hgo., Jal., Mich., Q.Roo, S.L.P., Tab. y Yuc.; muy fuertes en Edomex, Gto., Mor., Nay., N.L., Qro. y Tlax.",59,25,1,2,https://twitter.com/GermanMSantoyo/status/1804166978799563137#m,,['https://pbs.twimg.com/media/GQmvCSjXYAEASjW.jpg']
@conagua_mx,Conagua,"Jun 21, 2024 · 2:13 PM UTC",¡Buenos días! Conoce cuáles serán las condiciones del tiempo que prevalecerán este viernes en #México. Mira el video del #SMNmx:,26,5,0,1,https://twitter.com/conagua_mx/status/1804155776312672753#m,['https://video.twimg.com/ext_tw_video/1804155732654256129/pu/vid/avc1/640x360/5_RG4_JvwxiCJpmr.mp4?tag=12'],
@conagua_mx,Conagua,"Jun 21, 2024 · 2:07 PM UTC","Se prevén #Lluvias puntuales torrenciales en #Guerrero, #Oaxaca, #Puebla y #Veracruz, en las próximas horas.  Más información en:  https://www.gob.mx/conagua/prensa/se-preven-lluvias-puntuales-torrenciales-en-guerrero-oaxaca-puebla-y-veracruz-en-las-proximas-horas",22,5,0,1,https://twitter.com/conagua_mx/status/1804154097269887474#m,,['https://pbs.twimg.com/media/GQmkl1WWIAA63nl.jpg']
@conagua_mx,Conagua,"Jun 21, 2024 · 2:39 AM UTC","Las extracciones están siendo canalizadas a través del río San Juan a la presa El Cuchillo.  Aunque no hay riesgo para la población aguas abajo, se hace un llamado a extremar precauciones y atender las indicaciones de las autoridades locales y de #ProtecciónCivil",23,6,0,0,https://twitter.com/conagua_mx/status/1803980950629429683#m,,
